ID,Name,Cost,Type,Race,Rarity,Attack,Health,Tribe,Keywords,Card Text
"cog_cog_worker","Cog Worker",1,"MINION","COGSMITHS","COMMON",1,3,"MECH","BARRIER, DEPLOY","Gain +1/+1"
"cog_spark_plug","Spark Plug",1,"MINION","COGSMITHS","COMMON",2,2,"MECH","SWIFT, DEPLOY","Deal 1 damage to a random enemy"
"cog_conveyor_crawler","Conveyor Crawler",1,"MINION","COGSMITHS","COMMON",1,4,"MECH","","."
"cog_alloy_plating","Alloy Plating",1,"SPELL","COGSMITHS","COMMON",0,3,"","","Give a minion +0/+3"
"cog_welding_torch","Welding Torch",1,"SPELL","COGSMITHS","COMMON",,,"","","Deal 2 damage. If the target is a Mech, deal 4 instead"
"cog_scrap_collector","Scrap Collector",2,"MINION","COGSMITHS","COMMON",2,4,"","BLITZ, DEPLOY","Deal 1 damage to a random enemy"
"cog_bolt_tightener","Bolt Tightener",2,"MINION","COGSMITHS","COMMON",1,5,"MECH","SWIFT","Deal 1 damage to a random enemy"
"cog_recycler_bot","Recycler Bot",2,"MINION","COGSMITHS","COMMON",2,3,"MECH","SWIFT, DEPLOY","Deal 1 damage to a random enemy"
"cog_assembly_line","Assembly Line",2,"SPELL","COGSMITHS","COMMON",,,"","","Summon two 1/1 Cog-Bots"
"cog_overcharge","Overcharge",2,"SPELL","COGSMITHS","COMMON",,,"","SWIFT","Give a Mech +3 Attack and SWIFT this turn"
"cog_copper_sentinel","Copper Sentinel",3,"MINION","COGSMITHS","COMMON",3,4,"MECH","GUARDIAN","Draw a card"
"cog_junkyard_hound","Junkyard Hound",3,"MINION","COGSMITHS","COMMON",2,5,"MECH","DOUBLE_STRIKE, DEPLOY","(Draw a card.)"
"cog_piston_puncher","Piston Puncher",3,"MINION","COGSMITHS","COMMON",3,3,"MECH","LETHAL","SWIFT"
"cog_magnetize","Magnetize",3,"SPELL","COGSMITHS","COMMON",2,2,"","BARRIER","Give a Mech +2/+2 and BARRIER"
"cog_oil_slick","Oil Slick",3,"SPELL","COGSMITHS","COMMON",,,"","","Deal 1 damage to all enemy minions. Your Mechs gain +1 Attack"
"cog_maintenance_drone","Maintenance Drone",3,"MINION","COGSMITHS","COMMON",2,4,"MECH","DEPLOY","Give a minion +1/+1"
"cog_turret_deployer","Turret Deployer",4,"MINION","COGSMITHS","COMMON",3,5,"","BLITZ, DEPLOY","Summon a 2/2 Mech Turret with GUARDIAN"
"cog_circuit_breaker","Circuit Breaker",4,"MINION","COGSMITHS","COMMON",4,4,"MECH","BARRIER, DEPLOY","Draw a card"
"cog_power_core","Power Core",4,"SPELL","COGSMITHS","COMMON",,,"","","Draw 2 cards. If you control a Mech, draw 3 instead"
"cog_steel_rampart","Steel Rampart",4,"MINION","COGSMITHS","COMMON",2,8,"MECH","DOUBLE_STRIKE, SWIFT, DEPLOY","GUARDIAN. Gain +3/+3"
"cog_furnace_golem","Furnace Golem",5,"MINION","COGSMITHS","COMMON",5,5,"MECH","DRAIN, DEPLOY","Gain BARRIER and +2/+2"
"cog_cranky_mechanic","Cranky Mechanic",5,"MINION","COGSMITHS","COMMON",4,6,"","SWIFT, DEPLOY","Deal 2 damage to a random enemy"
"cog_prototype_alpha","Prototype Alpha",5,"MINION","COGSMITHS","COMMON",4,5,"MECH","GUARDIAN, DEPLOY","Draw a card"
"cog_iron_curtain","Iron Curtain",5,"SPELL","COGSMITHS","COMMON",0,3,"","GUARDIAN","Give all friendly minions +0/+3 and GUARDIAN"
"cog_chrome_charger","Chrome Charger",6,"MINION","COGSMITHS","COMMON",6,6,"MECH","DRAIN","Deal 3 damage to a random enemy"
"cog_bronze_colossus","Bronze Colossus",6,"MINION","COGSMITHS","COMMON",5,8,"MECH","DRAIN, BARRIER, DEPLOY","Deal 3 damage to a random enemy"
"cog_war_machine","War Machine",7,"MINION","COGSMITHS","COMMON",7,7,"MECH","BLITZ, DEPLOY","SWIFT. Deal 3 damage to all enemy minions"
"cog_exhaust_cannon","Exhaust Cannon",7,"SPELL","COGSMITHS","COMMON",,,"","","Deal 4 damage to all enemies. Deal 2 more for each Mech you control"
"cog_titanium_fortress","Titanium Fortress",8,"MINION","COGSMITHS","COMMON",4,13,"MECH","BARRIER, DOUBLE_STRIKE, DEPLOY","Deal 4 damage to a random enemy"
"cog_scrapyard_salvager","Scrapyard Salvager",2,"MINION","COGSMITHS","COMMON",3,2,"MECH","BARRIER, DEPLOY","(Draw a card.)"
"cog_gear_master","Gear Master",4,"MINION","COGSMITHS","RARE",3,6,"","DEPLOY","Give a minion +1/+1"
"cog_assembly_foreman","Assembly Foreman",3,"MINION","COGSMITHS","RARE",2,5,"","DEPLOY","After you play a Mech, give it +1/+1"
"cog_overclocked_engine","Overclocked Engine",5,"MINION","COGSMITHS","RARE",4,7,"MECH","SWIFT, GUARDIAN, DEPLOY","Deal 2 damage to a random enemy"
"cog_reclamation_bay","Reclamation Bay",3,"STRUCTURE","COGSMITHS","RARE",,,"","DEPLOY","Draw a card"
"cog_chromatic_alloy","Chromatic Alloy",2,"SPELL","COGSMITHS","RARE",1,1,"","","Give a Mech +1/+1 for each other Mech you control"
"cog_titan_assembler","Titan Assembler",6,"MINION","COGSMITHS","RARE",5,6,"","SWIFT, DEPLOY","Draw a card"
"cog_emergency_protocol","Emergency Protocol",4,"SPELL","COGSMITHS","RARE",,,"","BARRIER","Give all friendly Mechs BARRIER and +2 Health"
