============================================================
  COGSMITHS (62 cards)
============================================================
Name                               Cost  Atk   HP
-----------------------------------------------------
Alloy Plating                      1     -     -
Arc Welder                         6     4     5
Assembly Foreman                   3     2     5
Assembly Line                      2     -     -
Bolt Tightener                     2     1     5
Bronze Colossus                    6     5     8
Chromatic Alloy                    2     -     -
Chrome Charger                     6     6     6
Chrome Medic                       3     3     4
Circuit Breaker                    4     4     4
CLOCKWORK LEVIATHAN                8     6     9
Cog Worker                         1     1     3
CONSTRUCTOR SUPREME                9     7     8
Conveyor Crawler                   1     1     4
Copper Sentinel                    3     3     4
Cranky Mechanic                    5     4     6
Disassemble                        5     -     -
Emergency Protocol                 4     -     -
Emergency Repairs                  1     -     -
Exhaust Cannon                     7     -     -
Forge Works                        5     -     -
Furnace Golem                      5     5     5
Galvanize                          6     -     -
Gear Master                        4     3     6
Iron Curtain                       5     -     -
Ironclad Behemoth                  7     7     8
Junkyard Hound                     3     2     5
Magnetize                          3     -     -
Maintenance Drone                  3     2     4
Mech Fabricator                    7     4     9
Oil Slick                          3     -     -
Omega Warframe                     8     7     9
Overcharge                         2     -     -
Overclock Protocol                 4     -     -
Overclocked Engine                 5     4     7
Perpetual Engine                   6     3     7
Piston Puncher                     3     3     3
Power Core                         4     -     -
Prototype Alpha                    5     4     5
Quantum Fabricator                 7     5     6
Reclamation Bay                    3     -     -
Recycler Bot                       2     2     3
Repair Bay                         3     -     -
Rivet Gunner                       1     2     3
Salvage Operative                  4     3     4
Scrap Collector                    2     2     4
Scrapyard Salvager                 2     3     2
Shield Generator                   3     3     5
Siege Automaton                    6     6     7
Spark Plug                         1     2     2
Steel Rampart                      4     2     8
Tesla Coil                         5     -     -
THE INFINITY COIL                  8     0     9
Titan Assembler                    6     5     6
Titanium Fortress                  8     4     13
Turret Deployer                    4     3     5
Turret Platform                    4     -     -
Upgrade Station                    3     -     -
War Machine                        7     7     7
Welding Drone                      2     2     3
Welding Torch                      1     -     -
Wire Runner                        1     2     2

============================================================
  LUMINAR (73 cards)
============================================================
Name                               Cost  Atk   HP
-----------------------------------------------------
Absolution                         3     -     -
Acolyte of Light                   1     1     3
Aegis of Light                     6     -     -
Angelic Wings                      1     -     -
Archon Sentinel                    5     4     7
ARCHON'S CHOSEN                    8     6     9
Avatar of Solhaven                 9     8     10
Beacon of Hope                     3     2     5
Beacon of Judgment                 6     4     8
Blessed Arrow                      2     -     -
Blessed Protector                  3     2     6
Blessed Radiance                   2     -     -
Blinding Burst                     4     -     -
Cathedral Guard                    5     4     7
Cathedral of Dawn                  4     -     -
Celestial Choir                    6     3     4
Chalice of Renewal                 4     -     -
Consecrate                         5     -     -
Consecration                       3     -     -
Crusading Templar                  4     3     6
Dawn Paladin                       2     2     4
Dawn Priest                        2     2     4
Dawn's Embrace                     7     -     -
DAWN'S LAST PROPHET                7     5     6
Dawnbreaker                        3     3     5
Daybreak Charger                   4     4     4
Divine Intervention                5     -     -
Divine Light                       1     -     -
Empyreal Knight                    6     5     7
Eternal Flame                      3     -     -
Glowing Moth                       1     1     2
Hallowed Ground                    3     -     -
Halo Sentinel                      4     3     5
High Archon                        7     6     9
High Priestess of Sol              4     3     6
Holy Nova                          6     -     -
Holy Warden                        4     3     7
Lightbringer                       5     4     5
Lightforged Avenger                4     4     5
Lightsworn Guardian                3     2     6
Luminar Templar                    5     5     6
Luminous Wisp                      1     0     2
Martyr's Gift                      5     3     7
Penitent Monk                      3     3     4
Pilgrim of Sol                     2     1     5
Prayer Candle                      1     1     3
Purge the Shadows                  5     -     -
Purifying Light                    3     -     -
Radiance Weaver                    4     3     5
Radiant Aegis                      3     2     7
Radiant Fortress                   6     4     11
Radiant Shield                     1     -     -
Restoration Wave                   4     -     -
Resurrect                          7     -     -
Sanctify                           2     -     -
Seraphim Vanguard                  6     6     7
Shield Bearer                      2     1     5
Sol's Judgment                     7     -     -
Solar Flare                        4     -     -
SOLARIUS, THE UNDYING LIGHT        9     6     11
Solhaven Crusader                  6     6     7
Solhaven Knight                    3     3     4
Solhaven Paladin                   4     3     5
Sunbeam Sprite                     1     1     3
Sunfire Phoenix                    5     4     5
Sunforged Blade                    3     -     -
Sunlit Protector                   7     6     8
Sunstone Cleric                    2     2     3
Sunstorm                           8     -     -
Sunward Cleric                     2     1     4
Sunwell Shrine                     2     -     -
Temple Acolyte                     1     1     4
Temple Initiate                    1     1     2

============================================================
  PYROCLAST (79 cards)
============================================================
Name                               Cost  Atk   HP
-----------------------------------------------------
Ash Berserker                      2     3     3
Ash Pit                            2     -     -
Ashbringer Titan                   6     6     7
Ashen Colossus                     7     7     8
Ashwalker                          2     3     3
ASHYR, THE WORLD BURNER            8     6     7
Backdraft                          3     -     -
Blazing Chariot                    4     4     5
Caldera Giant                      4     4     5
Charred Berserker                  3     5     2
Cinder Lord                        5     6     5
Cinder Sprite                      1     1     3
Cinder Storm                       5     -     -
Cinderspark                        1     2     1
Doomfire Sentinel                  6     5     6
Doomsday Meteor                    7     -     -
Ember Imp                          1     2     2
Ember Wisp                         1     1     2
Emberstrike Assassin               3     4     2
Eruption                           4     -     -
Eruptomancer                       3     3     4
Fire Cultist                       2     2     3
Firebolt                           1     -     -
Firestarter                        1     1     2
Firestorm Drake                    6     5     6
Firestorm Phoenix                  5     5     6
Flame Dancer                       3     3     4
Flame Geyser                       3     -     -
Flame Imp                          1     2     2
Flame Surge                        4     -     -
Flamecaller Disciple               3     3     4
Flamelick                          1     -     -
Forge of Ignaros                   4     -     -
Fuel the Flames                    3     -     -
Furnace Fiend                      5     4     5
Hellfire Breath                    6     -     -
Ignite                             1     -     -
Infernal Berserker                 4     5     4
Infernal Juggernaut                6     6     6
Infernal Pact                      5     -     -
Infernal Strike                    2     -     -
Inferno Altar                      3     -     -
Inferno Caller                     4     4     4
Inferno Drake                      7     8     7
Inferno Engine                     5     4     6
Kamikaze Construct                 4     7     2
Kindling                           1     1     2
Lava Forge                         4     -     -
Lava Lurker                        3     3     4
Lava Stalker                       2     2     3
Living Bomb                        3     0     5
Magma Giant                        5     5     6
Magma Hound                        2     2     4
MAGMA TYRANT                       7     7     7
Magma Vent                         2     -     -
Magma Wyrm                         4     5     5
Molten Armor                       3     -     -
Molten Colossus                    6     7     6
Obsidian Cleaver                   3     4     4
PHOENIX ETERNUS                    6     5     6
Primordial Inferno                 8     9     8
Pyro Bolt                          2     -     -
Pyroblast                          5     -     -
Pyroclastic Flow                   5     -     -
Pyromaniac                         2     2     4
Rain of Fire                       5     -     -
Scorch Dancer                      2     3     2
Scorched Fanatic                   3     4     3
Searing Touch                      2     -     -
Smoldering Remains                 2     -     -
Sparkling Igniter                  1     2     2
Supernova                          8     -     -
Volcanic Eruption                  3     -     -
Volcanic Heart                     4     -     -
Volcanic Juggernaut                5     5     6
Volcanic Ravager                   3     4     3
Volcanic Ritual                    4     -     -
Volcanic Shard                     3     2     5
Wall of Flame                      4     -     -

============================================================
  VOIDBORN (74 cards)
============================================================
Name                               Cost  Atk   HP
-----------------------------------------------------
Abyss Walker                       5     4     5
Abyssal Horror                     4     4     5
Abyssal Lurker                     3     3     5
Abyssal Maw                        5     5     6
Annihilate                         6     -     -
Black Hole                         6     -     -
Consume Reality                    7     -     -
Creeping Dread                     3     -     -
Dark Acolyte                       1     2     2
Devour Essence                     4     -     -
Devour Thoughts                    3     -     -
Dimensional Exile                  7     -     -
Dimensional Rift                   4     -     -
Eclipse Wraith                     5     5     6
Eldritch Colossus                  7     7     8
Entropic Cascade                   6     -     -
Entropic Touch                     1     -     -
Entropy Agent                      2     2     3
Entropy Weaver                     4     3     5
Erasure                            5     -     -
Existential Crisis                 5     -     -
Hollow Shade                       3     4     3
Mind Devourer                      6     4     7
Mind Fracture                      2     -     -
Mindbreaker                        5     4     6
Nether Goliath                     5     4     7
Nether Wisp                        1     2     3
Nightmare Stalker                  3     3     3
Null Anchor                        3     -     -
Null Assassin                      3     3     3
