id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
ast_m1,Stargazer Initiate,Astromancers,Minion,,Common,1,1,3,SCRY,"SCRY (2). (Look at the top 2 cards of your deck, rearrange in any order.)",Sees the future. Rearranges it. Gets a C+ in Divination class anyway.,True,CORE,
ast_s1,Cosmic Insight,Astromancers,Spell,,Common,1,,,,Draw a card. SCRY (2).,One card now. Two cards arranged for later. Patience is a weapon and you just loaded it.,True,CORE,
ast_m2,Nova Wisp,Astromancers,Minion,Elemental,Common,1,1,1,DEPLOY,DEPLOY: Draw a card.,Small. Bright. Comes with a free card. The galaxy's cutest refund policy.,True,CORE,
ast_s2,Stellar Compass,Astromancers,Spell,,Common,1,,,,SCRY (3). Draw a card.,Points to destiny. Also points to the bathroom. Multi-functional.,True,CORE,
ast_m3,Astral Moth,Astromancers,Minion,Elemental,Common,1,2,1,LAST WORDS,LAST WORDS: SCRY (2).,Dies beautifully. Shows you the future on the way out. 10/10 moth. Would mourn again.,True,CORE,
ast_m4,Constellation Mapper,Astromancers,Minion,,Common,2,2,3,DEPLOY,"DEPLOY: SCRY (3). If the top card is a spell, draw it.",Maps stars. Finds spells. Refuses to ask for directions even when the galaxy is CLEARLY that way.,True,CORE,
ast_m5,Celestial Scribe,Astromancers,Minion,,Common,2,1,4,,"Whenever you draw a card outside your normal draw, gain +1/+1.",Takes notes. Gets HUGE from notes. She's a 14/14 by Turn 6. Don't question the process.,True,CORE,
ast_s3,Star Chart,Astromancers,Spell,,Common,2,,,,Draw 2 cards.,"Two cards. No strings. No tricks. Just pure, uncut VALUE injected directly into your hand.",True,CORE,
ast_m6,Nebula Sprite,Astromancers,Minion,Elemental,Common,2,2,2,DEPLOY,DEPLOY: SCRY (2). Draw a card if you put a minion on top.,Finds your friends. Puts them on top. An adorable little cosmic stalker.,True,CORE,
ast_s4,Meteor Shower,Astromancers,Spell,,Common,2,,,,Deal 1 damage to 3 random enemies. SCRY (1).,Three rocks. Three problems. One peek at what's next. Space is just throwing things at your enemies.,True,CORE,
ast_m7,Astral Navigator,Astromancers,Minion,,Common,3,3,3,SCRY,SCRY (3).,Knows exactly what's coming next. Still gasps dramatically. Every. Single. Time.,True,CORE,
ast_m8,Prophecy Keeper,Astromancers,Minion,,Common,3,2,4,,"Whenever you SCRY, draw the top card if it costs 3 or less.",Predicts cheap cards. Draws cheap cards. She's a living coupon book and she's PROUD of it.,True,CORE,
ast_s5,Supernova Shard,Astromancers,Spell,,Common,3,,,,"Deal 3 damage. SCRY (2). If the top card is a spell, deal 3 more damage.",Peek. Boom. Maybe double boom. The suspense is half the fun. The damage is the other half.,True,CORE,
ast_s6,Astral Archive,Astromancers,Spell,,Common,3,,,,Draw 3 cards. Put 1 card from your hand on top of your deck.,Take three. Return one. The galaxy's most generous library. Zero late fees. Infinite power.,True,CORE,
