id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
bio_m1,Genestock Runt,Biotitans,Minion,Beast,Common,1,1,2,ADAPT,ADAPT.,Tiny now. Unstable genome. Ask again in five minutes when it's grown mandibles and a plasma gland.,True,CORE,
bio_m2,Toxispine Polyp,Biotitans,Minion,Beast,Common,1,2,1,LETHAL,LETHAL.,One inch tall. One-hundred-percent lethal. The Biotitans' most efficient killing machine per gram.,True,CORE,
bio_s1,Biocelerate,Biotitans,Spell,,Common,1,,,,Gain 1 empty Crystal.,Accelerated growth. Accelerated EVERYTHING. The Biotitans don't wait for nature. They SHOVE it forward.,True,CORE,
bio_m3,Spore Sac,Biotitans,Minion,Beast,Common,1,0,3,LAST WORDS,LAST WORDS: Summon two 1/1 Sporlings.,"Pop! Surprise offspring. They're slimy. They're angry. They imprinted on YOU. Congratulations, parent.",True,CORE,
bio_s2,Mutagraft,Biotitans,Spell,,Common,1,,,,Give a minion +2/+2.,Graft new tissue. Get a BIGGER organism. Biotitan medicine is just 'make it larger' with extra steps.,True,CORE,
bio_m4,Genome Stalker,Biotitans,Minion,Beast,Common,2,3,2,,Gains +1/+1 at the start of each turn.,Unstable DNA. Grows every second. By Turn 5 it's eaten two opponents and started a new ecosystem.,True,CORE,
bio_m5,Symbiote Tendril,Biotitans,Minion,Beast,Common,2,2,3,DEPLOY,DEPLOY: Give a friendly minion +1/+1.,Latches on. Shares nutrients. Friendship is just symbiosis with extra steps. And teeth.,True,CORE,
bio_s3,Hypergrowth,Biotitans,Spell,,Common,2,,,,Gain 2 empty Crystals.,Skip two growth cycles. The Biotitans consider patience a genetic defect.,True,CORE,
bio_m6,Venombrood Larva,Biotitans,Minion,Beast,Common,2,2,2,"LETHAL, ADAPT",LETHAL. ADAPT.,Cute. Larval. Catastrophically venomous. It adapted poison IN THE EGG. Overachiever of the spawning pool.,True,CORE,
bio_s4,Chitin Plating,Biotitans,Spell,,Common,2,,,,Give a minion +1/+4 and GUARDIAN.,Bio-armor. Grows from the host's own cells. Surprisingly effective. Mildly disgusting. Very Biotitan.,True,CORE,
