id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
chrono_timekeeper_initiate,Timekeeper Initiate,Chronobound,Minion,,Common,1,1,3,"Drain, Deploy",Deal 1 damage to a random enemy,First time's the charm. Second time's the backup charm.,True,CORE,
chrono_temporal_bolt,Temporal Bolt,Chronobound,Spell,,Common,1,,,Double Strike,Deal 1 damage,Zap. Zap again. Temporal efficiency.,True,CORE,
chrono_rewind_sprite,Rewind Sprite,Chronobound,Minion,,Common,1,2,2,"Drain, Deploy",Return a friendly minion to your hand,Takes it back. Literally.,True,CORE,
chrono_temporal_patch,Temporal Patch,Chronobound,Spell,,Common,1,,,,Return a friendly minion to your hand. It costs (2) less. Draw a card,Undo. But CHEAPER undo.,True,CORE,
chrono_clockwork_sparrow,Clockwork Sparrow,Chronobound,Minion,Mech,Common,1,1,2,Lethal,SWIFT,Tick. Attack. Tock. Attack. Done.,True,CORE,
chrono_timeline_splitter,Timeline Splitter,Chronobound,Minion,,Common,2,2,3,Blitz,DRAIN.,Play it once. Play it twice. Time is generous.,True,CORE,
chrono_second_chance,Second Chance,Chronobound,Spell,,Common,2,,,,Return a friendly minion that died this turn to play with 1 Health,Death? In THIS timeline? Denied.,True,CORE,
chrono_chronosnare,Chronosnare,Chronobound,Spell,,Common,2,,,,Freeze an enemy minion for 2 turns. (It can't attack.),Trapped in time. No parole.,True,CORE,
chrono_paradox_walker,Paradox Walker,Chronobound,Minion,,Common,2,2,3,Last Words,"DEPLOY: Next card costs (1) less. LAST WORDS: Return a random friendly minion to hand, costs (1) less",Walks between moments. Even death can't stop the loop.,True,CORE,
chrono_fast_forward,Fast Forward,Chronobound,Spell,,Common,2,,,,Give a friendly minion +2 Attack and remove summoning sickness,Skip to the good part. The HITTING part.,True,CORE,
chrono_time_elemental,Time Elemental,Chronobound,Minion,Elemental,Common,3,3,4,Drain,DRAIN.,Exists twice. In the same moment. Rude.,True,CORE,
