id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
cog_cog_worker,Cog Worker,Cogsmiths,Minion,Mech,Common,1,1,3,"Barrier, Deploy",Gain +1/+1,"It ain't much, but it's honest work.",True,CORE,
cog_spark_plug,Spark Plug,Cogsmiths,Minion,Mech,Common,1,2,2,"Swift, Deploy",Deal 1 damage to a random enemy,WARNING: Do not lick.,True,CORE,
cog_conveyor_crawler,Conveyor Crawler,Cogsmiths,Minion,Mech,Common,1,1,4,,.,"Slow and steady wins the... actually, just slow.",True,CORE,
cog_alloy_plating,Alloy Plating,Cogsmiths,Spell,,Common,1,0,3,,Give a minion +0/+3,Now 40% more bulletproof!,True,CORE,
cog_welding_torch,Welding Torch,Cogsmiths,Spell,,Common,1,,,,"Deal 2 damage. If the target is a Mech, deal 4 instead",The right tool for taking apart the wrong robot.,True,CORE,
cog_scrap_collector,Scrap Collector,Cogsmiths,Minion,,Common,2,2,4,"Blitz, Deploy",Deal 1 damage to a random enemy,One bot's trash is another bot's treasure.,True,CORE,
cog_bolt_tightener,Bolt Tightener,Cogsmiths,Minion,Mech,Common,2,1,5,Swift,Deal 1 damage to a random enemy,Loose bolts? Not on my watch.,True,CORE,
cog_recycler_bot,Recycler Bot,Cogsmiths,Minion,Mech,Common,2,2,3,"Swift, Deploy",Deal 1 damage to a random enemy,"Reduce, reuse, reboot.",True,CORE,
cog_assembly_line,Assembly Line,Cogsmiths,Spell,,Common,2,,,,Summon two 1/1 Cog-Bots,Two for the price of two. What a deal!,True,CORE,
cog_overcharge,Overcharge,Cogsmiths,Spell,,Common,2,,,Swift,Give a Mech +3 Attack and SWIFT this turn,MAXIMUM POWER! ...briefly.,True,CORE,
cog_copper_sentinel,Copper Sentinel,Cogsmiths,Minion,Mech,Common,3,3,4,Guardian,Draw a card,"Shiny and chrome, as intended.",True,CORE,
cog_junkyard_hound,Junkyard Hound,Cogsmiths,Minion,Mech,Common,3,2,5,"Double Strike, Deploy",(Draw a card.),Good boy! Who's a good corrosion-resistant boy?,True,CORE,
cog_piston_puncher,Piston Puncher,Cogsmiths,Minion,Mech,Common,3,3,3,Lethal,SWIFT,Runs on diesel and pure aggression.,True,CORE,
cog_magnetize,Magnetize,Cogsmiths,Spell,,Common,3,2,2,Barrier,Give a Mech +2/+2 and BARRIER,Positive vibes only. Also positive charges.,True,CORE,
cog_oil_slick,Oil Slick,Cogsmiths,Spell,,Common,3,,,,Deal 1 damage to all enemy minions. Your Mechs gain +1 Attack,Slippery when everywhere.,True,CORE,
