id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
cry_m1,Prism Shard,Crystalline,Minion,Elemental,Common,1,1,2,RESONATE,RESONATE: Gain +1/+1.,Vibrates when you cast spells. Also when nervous. Also when you LOOK at it. Very sensitive crystal.,True,CORE,
cry_s1,Crystal Spark,Crystalline,Spell,,Common,1,,,,Deal 1 damage. Draw a card.,A tiny zap. A tiny card. A tiny WIN. The Crystalline consider this 'foreplay for a spell chain.',True,CORE,
cry_m2,Facet Moth,Crystalline,Minion,Elemental,Common,1,1,1,RESONATE,RESONATE: Summon a 1/1 Crystal Shard.,"Casts spells, makes babies. Spell babies. They're sharp and slightly magical and they're EVERYWHERE.",True,CORE,
cry_s2,Arcane Missile,Crystalline,Spell,,Common,1,,,,Deal 3 damage randomly split among all enemies.,Aim? Where we're going we don't NEED aim. Three damage goes wherever it FEELS like going.,True,CORE,
cry_s3,Mana Siphon,Crystalline,Spell,,Common,1,,,,Gain 1 Crystal this turn only. Draw a card.,Borrow power from the universe. The universe doesn't notice. Pocket the change and a card.,True,CORE,
cry_m3,Geode Apprentice,Crystalline,Minion,,Common,2,2,3,RESONATE,RESONATE: Deal 1 damage to a random enemy.,Studies hard. Zaps harder. Graduated top of her class in Applied Crystal Violence.,True,CORE,
cry_s4,Refraction Bolt,Crystalline,Spell,,Common,2,,,,"Deal 2 damage. If you cast another spell this turn, deal 4 instead.",Alone: a spark. After another spell: a THUNDERBOLT. The Crystalline invented the combo meal.,True,CORE,
cry_m4,Spell Weaver,Crystalline,Minion,,Common,2,1,3,,Your spells cost (1) less. (Minimum 1.),Discount magic. No coupons required. She's been subsidizing spellcraft since before you drew your opening hand.,True,CORE,
cry_s5,Prismatic Bolt,Crystalline,Spell,,Common,2,,,,Deal 3 damage to a minion.,Three colors. Three damage. It hits like a rainbow with a grudge and no forgiveness.,True,CORE,
cry_m5,Crystal Golem,Crystalline,Minion,Elemental,Common,2,2,3,RESONATE,RESONATE: Gain +0/+2.,"Gets tougher every time you cast. The strong, silent type. By Turn 6 it's a 2/11 and NOBODY can kill it.",True,CORE,
cry_m6,Resonance Mage,Crystalline,Minion,,Common,3,3,3,RESONATE,RESONATE: Add a random spell to your hand. It costs (1).,Casts spells. Gets spells. Casts THOSE spells. Gets MORE spells. She hasn't run out since the Prism Age.,True,CORE,
cry_s6,Shatter,Crystalline,Spell,,Common,3,,,,"Deal 4 damage. If this kills the target, deal 2 damage to adjacent minions.","Break one, crack two. Crystal physics. The Crystalline textbook has one chapter and it's called 'SHATTER.'",True,CORE,
cry_m7,Quartz Warden,Crystalline,Minion,Elemental,Common,3,2,5,"GUARDIAN, RESONATE",GUARDIAN. RESONATE: Gain BARRIER.,Shields up when you spell up. Cast twice and it's a GUARDIAN with BARRIER. Cast three times and it's a wall with feelings.,True,CORE,
cry_s7,Spell Surge,Crystalline,Spell,,Common,3,,,,"Draw 2 cards. If you've cast 2+ spells this turn, draw 3 instead.",More spells. More cards. More spells FROM cards. It's a cycle and the Crystalline have NO intention of breaking it.,True,CORE,
cry_s8,Prism Shield,Crystalline,Spell,,Common,3,,,,Give a minion +2/+4 and BARRIER.,Looks like glass. Hits like diamond. The Crystalline don't do 'decorative.' Everything is a weapon.,True,CORE,
cry_m8,Energized Sentry,Crystalline,Minion,Elemental,Common,3,2,4,,Gains +1 Attack for each spell you've cast this turn.,Charges up while you cast. Cast four spells and it's a 6/4. Cast six and it's asking for a raise.,True,CORE,
cry_m9,Prismora Scholar,Crystalline,Minion,,Common,4,3,4,DEPLOY,DEPLOY: Add 2 random Crystalline spells to your hand.,Knowledge is power. Two knowledges is MORE power. She hasn't bought a spell in years. They just COME to her.,True,CORE,
cry_s9,Arcane Explosion,Crystalline,Spell,,Common,4,,,,Deal 2 damage to all enemy minions. Deal 1 extra for each spell you've cast this game. (Max +5.),"Turn 1: weak. Turn 10: APOCALYPTIC. The longer the game goes, the angrier the explosion gets. Like a fine wine of FIRE.",True,CORE,
cry_m10,Living Crystal,Crystalline,Minion,Elemental,Common,4,4,4,"RESONATE, RESONATE",RESONATE: Gain +1/+1 AND deal 1 damage to a random enemy. (Triggers both on each spell.),Double resonance. Double trouble. Cast one spell and it grows AND hurts someone. Cast five and it's a war crime.,True,CORE,
cry_s10,Refract,Crystalline,Spell,,Common,4,,,,Deal 3 damage. Cast a random spell that costs (3) or less. (Targets chosen randomly.),One spell becomes two. You paid for damage. You got damage AND a mystery bonus. Chaos is a FEATURE.,True,CORE,
cry_m11,Crystal Colossus,Crystalline,Minion,Elemental,Common,5,5,6,RESONATE,RESONATE: Gain +2/+2 and SWIFT.,"Cast one spell and a 5/6 becomes a 7/8 with SWIFT. The bigger they resonate, the harder your opponent cries.",True,CORE,
cry_s11,Arcane Storm,Crystalline,Spell,,Common,5,,,,Deal 1 damage to all enemies for each spell you've cast this turn. (Includes this one.),Step 1: Cast five spells. Step 2: Cast THIS. Step 3: Six damage to everything. Step 4: Apologize to nobody.,True,CORE,
cry_m12,Spell Thief,Crystalline,Minion,,Common,5,4,4,DEPLOY,DEPLOY: Copy the last spell your opponent cast. It costs (0).,What's yours is mine. Especially your best spell. She doesn't have original ideas. She has BETTER theft.,True,CORE,
cry_s12,Overload,Crystalline,Spell,,Common,5,,,,Your next spell this turn costs (0) and deals double damage.,UNLIMITED POWER! (Limited to one use per cast.) The Crystalline definition of restraint.,True,CORE,
cry_m13,Prismatic Dragon,Crystalline,Minion,Elemental,Common,6,6,6,RESONATE,RESONATE: Deal 3 damage to a random enemy.,"Every spell you cast, it breathes fire. EVERY one. It's not a dragon problem. It's a dragon REFLEX.",True,CORE,
cry_s13,Cascade,Crystalline,Spell,,Common,6,,,,"Deal 6 damage to a minion. If this kills it, cast this again on a random enemy minion.",It keeps going until something stops it. Nothing stops it. The Crystalline motto: WHY STOP?,True,CORE,
cry_m14,Crystal Titan,Crystalline,Minion,Elemental,Common,7,7,8,"RESONATE, RESONATE",RESONATE: Gain +2/+2 and deal 2 damage to all enemies.,The mountain doesn't just listen to your spells. It casts BACK. In the form of earthquakes and stat buffs.,True,CORE,
cry_s14,Prismatic Annihilation,Crystalline,Spell,,Common,7,,,,Deal 10 damage split randomly among all enemies. Costs (1) less for each spell you've cast this game. (Min 1.),All the colors of the rainbow. All the damage of a supernova. By Turn 8 this costs pocket change.,True,CORE,
cry_st1,Resonance Chamber,Crystalline,Structure,,Common,2,,,,Your RESONATE effects trigger an additional time.,Say it again. Louder. LOUDER. The Chamber has one rule: everything happens TWICE.,True,CORE,
cry_m15,Crystal Battery,Crystalline,Minion,Elemental,Common,2,0,4,LAST WORDS,LAST WORDS: Gain 2 Crystals this turn only.,Breaks open. Power falls out. The world's least efficient battery and the Crystalline's favorite piñata.,True,CORE,
cry_m16,Spell Amplifier,Crystalline,Minion,,Rare,3,2,4,,Your spells deal 2 extra damage.,Makes everything louder. EVERYTHING. Your 1-damage plink is now a 3-damage punch. She doesn't apologize.,True,CORE,
cry_s15,Resonance Cascade,Crystalline,Spell,,Rare,4,,,,Trigger all friendly RESONATE effects twice.,Every crystal on the board goes BOING. Then BOING again. Two boings. Unconditional. No spells required.,True,CORE,
cry_s16,Geode Sage's Staff,Crystalline,Spell,,Rare,3,,,,"Your Hero Power costs (0) this turn. After you use it, draw 2 cards.",The sage's secret: free magic and free cards. She wrote it down. In a book. That she also made free.,True,CORE,
cry_st2,Arcane Repository,Crystalline,Structure,,Rare,4,,,,"Whenever you cast a spell, add a copy of it to your hand. It costs (2) more.",Spells come back. With a surcharge. The Crystalline invented spell insurance and it's EXPLOITABLE.,True,CORE,
cry_m17,Prismora Channeler,Crystalline,Minion,,Rare,5,4,5,RESONATE,RESONATE: The next spell you cast this turn costs (2) less.,Fuels the fire while standing in the fire. Every spell you cast makes the NEXT spell cheaper. Infinite discount energy.,True,CORE,
cry_s17,Feedback Loop,Crystalline,Spell,,Rare,3,,,,"Deal 2 damage to a minion. If you've cast 3+ spells this turn, cast this again. (Repeatable.)","Infinite loop. Finite targets. If you cast three spells before this, it just keeps GOING until nothing moves.",True,CORE,
cry_m18,Crystal Wyrm,Crystalline,Minion,Elemental,Rare,6,5,7,RESONATE,RESONATE: Gain DOUBLE STRIKE until end of turn.,One spell makes it attack twice. Two spells? Still twice. But now it's BIGGER and attacking twice. Much worse.,True,CORE,
cry_s18,Mana Flood,Crystalline,Spell,,Rare,5,,,,Gain 3 Crystals this turn only. Draw a card for each unspent Crystal.,Too much mana? IMPOSSIBLE. Too many cards? Also impossible. The Crystalline don't believe in 'enough.',True,CORE,
cry_s19,Prismatic Barrier,Crystalline,Spell,,Rare,4,,,,Give all friendly minions BARRIER. Draw a card for each BARRIER given.,Everyone gets a shield! And a card! Best day ever. Worst day for your opponent. Same day technically.,True,CORE,
cry_m19,Runic Golem,Crystalline,Minion,Elemental,Rare,5,4,6,,Gains +2/+2 for each spell in your hand.,Checks your hand. Gets HUGE. Three spells? It's a 10/12. Empty hand? It's sad. Keep your hand full.,True,CORE,
cry_s20,Arcane Singularity,Crystalline,Spell,,Rare,7,,,,Deal damage to all enemies equal to the number of spells you've cast this game.,"The longer the game, the harder this hits. Turn 12 after casting 15 spells? Fifteen to the FACE of everything.",True,CORE,
cry_s21,Crystallize,Crystalline,Spell,,Rare,4,,,,Transform a minion into a 0/1 Crystal Shard.,Was a dragon. Now a paperweight. The Crystalline don't kill things. They REDECORATE them.,True,CORE,
cry_m20,Mana Vortex,Crystalline,Minion,Elemental,Rare,5,3,5,,"End of Turn: If you cast 3+ spells this turn, fill your hand with random spells.",Cast enough and the universe sends MORE. It's a subscription service. The content is violence.,True,CORE,
cry_m21,Spellfire Elemental,Crystalline,Minion,Elemental,Rare,6,5,5,DEPLOY,DEPLOY: Cast a random spell from your deck. (Targets chosen randomly.),Doesn't READ spells. Just THROWS them. It reached into your deck and YEET'd the first thing it found.,True,CORE,
cry_st3,Prismatic Lens,Crystalline,Structure,,Rare,4,,,,Spells in your hand swap costs with minions in your hand. (Cheapest spell swaps with most expensive minion.),Everything is wrong. But in the RIGHT way. Your 7-cost Titan now costs 1. Your 1-cost spark costs 7. DEAL WITH IT.,True,CORE,
cry_s22,Chain Lightning,Crystalline,Spell,,Rare,3,,,,"Deal 3 damage to a minion. If it dies, cast this on a random enemy minion. Repeats up to 3 times.",Bolt bounces. Target dies. Bolt bounces AGAIN. Three kills maximum. Usually three kills exactly.,True,CORE,
cry_s23,Spell Stockpile,Crystalline,Spell,,Rare,3,,,,Draw a card for each spell you've cast this turn. (Includes this one.),Cast four spells then play this: draw FIVE cards. The Crystalline reward you for doing what you were going to do ANYWAY.,True,CORE,
