id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
hive_worker_drone,Worker Drone,Hivemind,Minion,Insect,Common,1,1,2,"Lethal, Deploy",(Gets +1/+1 for each other friendly minion.),Alone? Weak. With friends? STILL weak. With LOTS of friends? Terrifying.,True,CORE,
hive_spawning_pit,Spawning Pit,Hivemind,Spell,,Common,1,,,,Summon two 1/1 Drones,Two for one! The hive's favorite deal.,True,CORE,
hive_hatchling_swarm,Hatchling Swarm,Hivemind,Minion,Insect,Common,1,1,2,"Lethal, Deploy",Summon two 1/1 Drones,Kill one. Get two. That's bug math.,True,CORE,
hive_chitinous_shell,Chitinous Shell,Hivemind,Spell,,Common,1,0,2,Guardian,Give a minion +0/+2 and GUARDIAN,Hard shell. Soft insides. Don't tell them.,True,CORE,
hive_skittering_scout,Skittering Scout,Hivemind,Minion,Insect,Common,1,1,3,Deploy,"If you control 2+ other minions, draw a card",Reports back to the hive. The hive is VERY interested.,True,CORE,
hive_brood_tender,Brood Tender,Hivemind,Minion,Insect,Common,2,2,3,"Swift, Deploy",Summon a 1/1 Drone,Babysitter of the apocalypse.,True,CORE,
hive_swarm_striker,Swarm Striker,Hivemind,Minion,Insect,Common,2,2,2,"Drain, Swift, Last Words",SWIFT. LAST WORDS: Deal 1 damage to a random enemy,Fast. Numerous. Furious.,True,CORE,
hive_infest,Infest,Hivemind,Spell,,Common,2,,,,Summon three 1/1 Drones,Congratulations! Your board has bugs.,True,CORE,
hive_acid_spitter,Acid Spitter,Hivemind,Minion,Insect,Common,2,2,3,"Drain, Deploy",Deal 1 damage for each other friendly minion you control,Accuracy optional. Volume mandatory.,True,CORE,
hive_pheromone_trail,Pheromone Trail,Hivemind,Spell,,Common,2,,,,Give all friendly minions +1 Attack this turn. Draw a card,Follow the scent. Of VICTORY.,True,CORE,
hive_tunnel_burrower,Tunnel Burrower,Hivemind,Minion,Insect,Common,3,2,5,"Barrier, Drain, Last Words",GUARDIAN. LAST WORDS: Summon a 1/1 Drone,Digs in. Grows huge. Good luck getting past it.,True,CORE,
hive_hive_warrior,Hive Warrior,Hivemind,Minion,Insect,Common,3,3,3,"Lethal, Drain, Last Words",SWIFT. LAST WORDS: Give a random friendly minion +1/+1,The hive's front line. Small but SO many.,True,CORE,
hive_brood_burst,Brood Burst,Hivemind,Spell,,Common,3,,,,Summon 1/1 Drones until you have 5 minions,Board half empty? Board half FULL of bugs.,True,CORE,
hive_consume_and_grow,Consume and Grow,Hivemind,Spell,,Common,3,2,1,,Destroy a friendly minion. Give all other friendly minions +2/+1,One drone dies. The rest celebrate. With STATS.,True,CORE,
hive_swarm_feeder,Swarm Feeder,Hivemind,Minion,Insect,Common,3,2,4,Deploy,Summon a token,Produces drones. Endlessly. Tirelessly. Annoyingly.,True,CORE,
hive_venomsting,Venomsting,Hivemind,Minion,Insect,Common,3,2,3,"Blitz, Lethal, Last Words",LETHAL. LAST WORDS: Deal 1 damage to all enemy minions,Poisonous AND it grows with friends. Nature's cruelest combo.,True,CORE,
hive_hive_coordinator,Hive Coordinator,Hivemind,Minion,Insect,Common,4,3,5,Deploy,Your minions have +1/+1. Summon a 1/1 Drone,"Manages the swarm. Middle management, but LETHAL middle management.",True,CORE,
hive_chitin_charger,Chitin Charger,Hivemind,Minion,Insect,Common,4,4,4,"Lethal, Blitz, Last Words",BLITZ. LAST WORDS: Deal 2 damage to a random enemy,Charges in. Is suddenly enormous because friends exist.,True,CORE,
hive_plague_swarm,Plague Swarm,Hivemind,Spell,,Common,4,,,,Deal 1 damage to all enemy minions for each friendly minion you control,More bugs = more pain. Simple entomology.,True,CORE,
hive_cocoon,Cocoon,Hivemind,Spell,,Common,4,,,,Deal 4 damage to a random enemy,Goodbye larva. Hello NIGHTMARE.,True,CORE,
hive_brood_lord,Brood Lord,Hivemind,Minion,Insect,Common,5,4,6,"Drain, Deploy","Whenever this attacks, summon two 1/1 Drones",Attacks AND reproduces. Multitasking nightmare.,True,CORE,
hive_swarm_tide,Swarm Tide,Hivemind,Spell,,Common,5,,,,Deal 3 damage to all enemy minions,MAXIMUM BUGS.,True,CORE,
hive_hiveguard,Hiveguard,Hivemind,Minion,Insect,Common,5,3,8,"Blitz, Drain, Deploy",GUARDIAN. . Gains +0/+2 for each other friendly minion,A wall of chitin. Gets thicker when friends arrive.,True,CORE,
hive_devouring_tide,Devouring Tide,Hivemind,Spell,,Common,5,2,2,,"Give all friendly minions +2/+2. If you have 5+ minions, give +3/+3 instead",The swarm eats. The swarm GROWS.,True,CORE,
hive_titan_beetle,Titan Beetle,Hivemind,Minion,Insect,Common,6,6,7,"Lethal, Barrier, Deploy, Last Words",GUARDIAN. Summon three 1/1 Drones. LAST WORDS: Deal 3 damage to a random enemy,Big bug. Big wall. Big death. Big babies.,True,CORE,
hive_swarm_intelligence,Swarm Intelligence,Hivemind,Spell,,Common,6,1,1,,Draw a card for each friendly minion. Give all friendly minions +1/+1,The hive thinks. The hive knows. The hive DRAWS SEVEN CARDS.,True,CORE,
hive_hive_colossus,Hive Colossus,Hivemind,Minion,Insect,Common,7,5,6,"Barrier, Double Strike, Deploy",Deal 3 damage to a random enemy,Everything on the board is now part of the hive. You're welcome.,True,CORE,
hive_extinction_swarm,Extinction Swarm,Hivemind,Spell,,Common,7,,,,Destroy all enemy minions. Summon a 1/1 Drone for each minion destroyed,They died. We bred. Circle of BUGS.,True,CORE,
hive_egg_sac,Egg Sac,Hivemind,Minion,Insect,Common,1,0,3,"Guardian, Last Words",GUARDIAN. LAST WORDS: Summon two 1/1 Drones,Break it. Go ahead. You'll regret it.,True,CORE,
hive_hive_nexus,Hive Nexus,Hivemind,Structure,,Common,3,1,1,Deploy,Your Drones have +1/+1,1/1 Drones? No. 2/2 Drones. The difference is extinction.,True,CORE,
hive_swarm_matriarch,Swarm Matriarch,Hivemind,Minion,Insect,Rare,4,3,6,Deploy,"Whenever a friendly minion dies, summon a 1/1 Drone",Every death is a birth. The hive ALWAYS wins.,True,CORE,
