id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
phc_m1,Deckhand Specter,PhantomCorsairs,Minion,Pirate,Common,1,2,1,CLOAK,CLOAK.,"You hired a ghost pirate. It showed up invisible, stole your lunch, and vanished. Employee of the month.",True,CORE,
phc_m2,Phantom Parrot,PhantomCorsairs,Minion,Pirate,Common,1,1,1,DEPLOY,DEPLOY: Copy the last card your opponent played. It costs (1).,BAWK! I'll have what they're having! BAWK! Polly wants a STOLEN cracker! BAWK!,True,CORE,
phc_s1,Ghostly Cutlass,PhantomCorsairs,Spell,,Common,1,,,,"Give a minion +2 Attack. If it has CLOAK or PHASE, give +3 instead.",Invisible swords hit harder. This is established ghost science. Peer reviewed by dead scientists.,True,CORE,
phc_s2,Plunder,PhantomCorsairs,Spell,,Common,1,,,,Copy a random card from your opponent's hand.,What's mine is mine. What's yours is ALSO mine. The Corsairs wrote property law. Then stole it.,True,CORE,
phc_m3,Stowaway,PhantomCorsairs,Minion,Pirate,Common,1,1,1,"CLOAK, LAST WORDS",CLOAK. LAST WORDS: Add a random Legendary to your hand.,Tiny. Sneaky. Carrying a LEGENDARY in its coat? How? WHERE? It's a 1/1! The coat is bigger than the pirate!,True,CORE,
phc_m4,Smuggler's Shade,PhantomCorsairs,Minion,Pirate,Common,2,3,2,SWIFT,SWIFT.,Fast hands. Faster exit. He's already hit you and he's already in another star system. Don't blink.,True,CORE,
phc_m5,Ghost Gunner,PhantomCorsairs,Minion,Pirate,Common,2,2,2,"PHASE, DEPLOY",PHASE. DEPLOY: Deal 1 damage to a random enemy.,Can't target it. Can't ignore it. Can't STAND it. It shoots from between dimensions and laughs.,True,CORE,
phc_m6,Pickpocket,PhantomCorsairs,Minion,Pirate,Common,2,2,3,,"Whenever this attacks, add a random card from your opponent's class to your hand.",Every swing is a shopping spree. She doesn't fight to win. She fights to BROWSE.,True,CORE,
phc_s3,Smoke Bomb,PhantomCorsairs,Spell,,Common,2,,,,Give a friendly minion CLOAK and +1/+1. Draw a card.,Now you see it. Now you don't. Now you're drawing a card while your opponent draws a blank.,True,CORE,
phc_s4,Cheap Shot,PhantomCorsairs,Spell,,Common,2,,,,"Deal 2 damage. If you've played a stolen card this turn, deal 5 instead.",Fight dirty. Fight dirtier if you stole something first. The Corsair code has ONE rule: there are no rules.,True,CORE,
phc_m7,Phantom Blade,PhantomCorsairs,Minion,Pirate,Common,3,4,2,"CLOAK, SWIFT",CLOAK. SWIFT.,Appears. Stabs. Disappears. The Corsairs call this a 'greeting.' Other factions call it 'why we lock our doors.',True,CORE,
phc_m8,Cargo Raider,PhantomCorsairs,Minion,Pirate,Common,3,3,3,DEPLOY,DEPLOY: Add a copy of a random card from your opponent's deck to your hand. It costs (1) less.,Found this in your cargo hold. Mine now. Found that too. Also mine. Actually everything in here is mine now.,True,CORE,
phc_m9,Spectral Rigging,PhantomCorsairs,Minion,Pirate,Common,3,2,4,PHASE,PHASE. Gains +1/+1 whenever you play a stolen card.,Grows on stolen goods. Every pilfered card makes it stronger. It's a 2/4 now. Play three stolen cards and it's a 5/7 you can't target.,True,CORE,
phc_s5,Hijack,PhantomCorsairs,Spell,,Common,3,,,,Take control of an enemy minion with 3 or less Attack until end of turn. It gains BLITZ.,Borrowed. Without asking. With EXTREME violence. The Corsairs don't do 'please.',True,CORE,
phc_s6,Ghostwalk,PhantomCorsairs,Spell,,Common,3,,,,Give all friendly minions PHASE until your next turn.,The whole crew goes invisible. Your opponent swings at nothing. Misses everything. Questions their career choices.,True,CORE,
phc_m10,Swindler,PhantomCorsairs,Minion,Pirate,Common,3,3,3,DEPLOY,DEPLOY: Swap a card from your hand with a random card from your opponent's hand.,Fair trade! He gives you his worst card. Takes your best. Smiles the whole time. Space pirate diplomacy.,True,CORE,
phc_m11,Corsair Quartermaster,PhantomCorsairs,Minion,Pirate,Common,4,3,4,,Your Pirates have +1 Attack. Stolen cards in your hand cost (1) less.,Manages the loot AND the crew. Multi-tasking pirate. His spreadsheets are written on stolen napkins.,True,CORE,
phc_m12,Wraithship Gunner,PhantomCorsairs,Minion,Pirate,Common,4,4,3,"PHASE, DEPLOY",PHASE. DEPLOY: Deal 2 damage to a minion.,Shoots from between dimensions. You can't shoot back. She thinks this is HILARIOUS.,True,CORE,
phc_s7,Ransack,PhantomCorsairs,Spell,,Common,4,,,,Steal 2 random cards from your opponent's hand.,Grand theft card game. They had seven cards. Now they have five. You have nine. Pirate math.,True,CORE,
phc_s8,Spectral Ambush,PhantomCorsairs,Spell,,Common,4,,,,Deal 3 damage to all enemy minions. Your PHASE and CLOAK minions are unaffected.,Our ghosts? Fine. Their everything? WRECKED. Advantages of being dead: you're immune to explosions.,True,CORE,
