id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
pc_deckhand_specter,Deckhand Specter,Phantom Corsairs,Minion,Pirate,Common,1,2,2,Cloak,Deal 1 damage to a random enemy,You hired a ghost pirate. It's as reliable as it sounds.,True,CORE,
pc_pocket_thief,Pocket Thief,Phantom Corsairs,Minion,Pirate,Common,1,1,3,"Blitz, Deploy",Deal 1 damage to a random enemy,Five-finger discount. In SPACE.,True,CORE,
pc_ghostly_cutlass,Ghostly Cutlass,Phantom Corsairs,Spell,,Common,1,2,0,Cloak,"Give a minion +2 Attack. If it has CLOAK, give +3 instead",Invisible swords hit harder. Trust the science.,True,CORE,
pc_plunder,Plunder,Phantom Corsairs,Spell,,Common,1,,,,Draw a card,What's mine is mine. What's yours is also mine.,True,CORE,
pc_phantom_parrot,Phantom Parrot,Phantom Corsairs,Minion,Pirate,Common,1,1,2,Deploy,Draw a card,BAWK! I'll have what he's having! BAWK!,True,CORE,
pc_smugglers_shade,Smuggler's Shade,Phantom Corsairs,Minion,Pirate,Common,2,3,3,Lethal,Deal 1 damage to a random enemy,Fast hands. Faster exit.,True,CORE,
pc_ghost_gunner,Ghost Gunner,Phantom Corsairs,Minion,Pirate,Common,2,2,3,"Blitz, Drain, Deploy",Deal 1 damage to a random enemy,Can't target it. Can't ignore it. Can't STAND it.,True,CORE,
pc_pickpocket,Pickpocket,Phantom Corsairs,Minion,Pirate,Common,2,2,3,Last Words,"Whenever this attacks, add a random card from opponent's class to your hand. LAST WORDS: Add a random card from opponent's class to your hand",Every swing is a shopping spree. Every death is a going-out-of-business sale.,True,CORE,
pc_smoke_bomb,Smoke Bomb,Phantom Corsairs,Spell,,Common,2,1,1,Cloak,Give a friendly minion CLOAK and +1/+1,Now you see it. Now you don't. Now you're dead.,True,CORE,
pc_cheap_shot,Cheap Shot,Phantom Corsairs,Spell,,Common,2,,,,"Deal 2 damage. If the target has CLOAK or , deal 4 instead",Hitting the invisible? We hit HARDER.,True,CORE,
pc_phantom_blade,Phantom Blade,Phantom Corsairs,Minion,Pirate,Common,3,4,3,"Cloak, Swift, Deploy",Draw a card,Appears. Stabs. Disappears. Repeat.,True,CORE,
pc_cargo_raider,Cargo Raider,Phantom Corsairs,Minion,Pirate,Common,3,3,4,"Double Strike, Deploy",Draw a card,Found this in your cargo hold. Mine now.,True,CORE,
