id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
pyr_ember_imp,Ember Imp,Pyroclast,Minion,Elemental,Common,1,2,2,"Double Strike, Deploy",Deal 1 damage to all enemies,Small. Angry. On fire.,True,CORE,
pyr_cinder_sprite,Cinder Sprite,Pyroclast,Minion,Elemental,Common,1,1,3,Deploy,Deal 1 damage to the enemy Hero,It just wants to say hi. With fire.,True,CORE,
pyr_flamelick,Flamelick,Pyroclast,Spell,,Common,1,,,,Deal 2 damage to the enemy Hero,Just a taste. Of FIRE.,True,CORE,
pyr_firestarter,Firestarter,Pyroclast,Minion,Elemental,Common,1,1,2,"Swift, Guardian, Deploy",BLITZ. Deal 1 damage to the enemy Hero,Born to burn. Literally born burning.,True,CORE,
pyr_ignite,Ignite,Pyroclast,Spell,,Common,1,,,,"Deal 1 damage to a minion. If it dies, deal 2 damage to the enemy Hero",One spark starts the inferno.,True,CORE,
pyr_ashwalker,Ashwalker,Pyroclast,Minion,,Common,2,3,3,"Double Strike, Deploy",Deal 2 damage to the enemy Hero,Walks through ash. Creates more ash.,True,CORE,
pyr_magma_hound,Magma Hound,Pyroclast,Minion,Elemental,Common,2,2,4,Blitz,SWIFT,Good boy. HOT boy. VERY hot boy.,True,CORE,
pyr_searing_touch,Searing Touch,Pyroclast,Spell,,Common,2,,,,Deal 3 damage to a minion,Reach out and torch someone.,True,CORE,
pyr_fire_cultist,Fire Cultist,Pyroclast,Minion,,Common,2,2,3,"Swift, Deploy",Deal 1 damage to ALL characters,He doesn't discriminate. Everything burns equally.,True,CORE,
pyr_pyro_bolt,Pyro Bolt,Pyroclast,Spell,,Common,2,,,,Deal 3 damage to the enemy Hero,Point. Click. Incinerate.,True,CORE,
pyr_lava_lurker,Lava Lurker,Pyroclast,Minion,Elemental,Common,3,3,4,"Blitz, Deploy",Deal 2 damage to the minion that killed this,Surprise! You're on fire now too.,True,CORE,
pyr_scorched_fanatic,Scorched Fanatic,Pyroclast,Minion,,Common,3,4,3,"Lethal, Deploy",Deal 3 damage to the enemy Hero,His will is fire. His body is temporary.,True,CORE,
