id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
voi_m1,Voidborn Wisp,Voidborn,Minion,Void,Common,1,1,2,DEPLOY,DEPLOY: Look at the top 2 cards of your opponent's deck. BANISH one.,Tiny. Hungry. It peers into your future and EATS the part it doesn't like. The Voidborn start deleting reality before Turn 2.,True,CORE,
voi_s1,Null Shard,Voidborn,Spell,,Common,1,,,,Deal 1 damage. The target's owner discards a random card.,Small cut. Big loss. One damage to the body. One card to the abyss. The Voidborn exchange rate is BRUTAL.,True,CORE,
voi_m2,Shadow Feeder,Voidborn,Minion,Void,Common,1,2,1,,Gains +1/+1 whenever your opponent loses a card from any zone.,"Your opponent's loss is literally its LUNCH. Discards, BANISHes, deck burns — every lost card is a meal. Feed it often.",True,CORE,
voi_s2,Entropic Touch,Voidborn,Spell,,Common,1,,,,A random card in your opponent's hand costs (2) more. Draw a card.,Everything costs more near the Voidborn. Their 5-drop is now a 7-drop. Their plan just got TWO turns slower. You got a card. Fair.,True,CORE,
voi_s3,Whispers of Nothing,Voidborn,Spell,,Common,1,,,,Your opponent's highest-cost card costs (3) more this turn.,The Void whispers. Their wallet SCREAMS. That finisher they've been holding? Delayed. Possibly forever.,True,CORE,
voi_m3,Voidborn Stalker,Voidborn,Minion,Void,Common,2,3,2,CLOAK,CLOAK.,You can't see it. That's the POINT. It's 3/2 of invisible void energy. It's already behind you. The Voidborn don't announce themselves.,True,CORE,
voi_s4,Mind Fracture,Voidborn,Spell,,Common,2,,,,Your opponent discards the highest-cost card in their hand.,Their best card. Gone. FOREVER. The Voidborn don't negotiate. They don't warn. They TAKE.,True,CORE,
voi_m4,Rift Crawler,Voidborn,Minion,Void,Common,2,2,3,DEPLOY,DEPLOY: Your opponent's next card costs (2) more.,Crawls between dimensions. Taxes your opponent's economy on arrival. The Voidborn IRS doesn't file extensions.,True,CORE,
voi_s5,Void Drain,Voidborn,Spell,,Common,2,,,,Deal 2 damage. BANISH the target if it dies. (BANISHed cards can't be resummoned or returned.),Not just dead. ERASED. No graveyard. No resurrection. No memory. The Voidborn definition of 'permanent.',True,CORE,
voi_m5,Entropy Agent,Voidborn,Minion,,Common,2,2,2,DEPLOY,DEPLOY: Your opponent reveals their entire hand.,Knowledge is power. THEIR knowledge is YOUR power. He sees every card. He tells you EVERYTHING. Voidborn intelligence is thorough.,True,CORE,
voi_m6,Abyssal Lurker,Voidborn,Minion,Void,Common,3,3,4,,"After your opponent plays a card, gain +1 Attack.",Watches. Waits. Grows. Every card your opponent plays makes it angrier. By Turn 8 it's a 10/4. Patience is a Voidborn virtue.,True,CORE,
voi_m7,Thought Shredder,Voidborn,Minion,,Common,3,2,3,DEPLOY,DEPLOY: Your opponent discards a random card. Draw a card.,They lose one. You GAIN one. Net swing: two cards. The Voidborn call this 'balanced trade.' Nobody agrees.,True,CORE,
