#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Seedling Sprout,1,1,2,Minion,Beast,Common,ADAPT,ADAPT.,Tiny now. Ask again in five minutes.,
2,Thornbud,1,2,1,Minion,Beast,Common,LETHAL,LETHAL.,Small plant. Big attitude. Instant death.,
3,Wild Growth,1,,,Spell,,Common,,Gain 1 empty Crystal.,Nature doesn't wait. Neither should you.,
4,Spore Pod,1,0,3,Minion,Beast,Common,LAST WORDS,LAST WORDS: Summon two 1/1 Sporlings.,Pop! Surprise babies.,
5,Nature's Touch,1,,,Spell,,Common,,Give a minion +2/+2.,Pet the creature. Get a BIGGER creature.,
6,Primeva Stalker,2,3,2,Minion,Beast,Common,,Gains +1/+1 at the start of each turn.,Getting stronger every second. Try to keep up.,
7,Root Snapper,2,2,3,Minion,Beast,Common,DEPLOY,DEPLOY: Give a friendly minion +1/+1.,Friendship is just evolution with extra steps.,
8,Overgrowth,2,,,Spell,,Common,,Gain 2 empty Crystals.,Patience is a virtue. Skipping turns is BETTER.,
9,Venomfang Hatchling,2,2,2,Minion,Beast,Common,"LETHAL, ADAPT",LETHAL. ADAPT.,Cute. Cuddly. Catastrophically venomous.,
10,Bark Shield,2,,,Spell,,Common,,Give a minion +1/+4 and GUARDIAN.,Tree armor. Surprisingly effective.,
11,Jungle Prowler,3,3,4,Minion,Beast,Common,SWIFT,SWIFT.,Hunts first. Questions never.,
12,Evolving Slime,3,2,2,Minion,Beast,Common,"ADAPT, ADAPT",ADAPT. ADAPT. (Choose 2 bonuses.),Still figuring out what it wants to be. Explosively.,
13,Canopy Guardian,3,2,5,Minion,Beast,Common,GUARDIAN,GUARDIAN.,Nothing gets past the tree. NOTHING.,
14,Predator's Instinct,3,,,Spell,,Common,,Give a minion +3 Attack and SWIFT. Draw a card if it's a Beast.,See prey. Become faster. Eat prey. Simple.,
15,Fungal Network,3,,,Spell,,Common,,"Give all friendly minions +1/+1. If you control 3+ minions, give +2/+2 instead.",Mushrooms: Nature's group chat.,
16,Blooming Crawler,3,3,3,Minion,Beast,Common,LAST WORDS,LAST WORDS: ADAPT a random friendly minion.,Dies beautifully. Buffs something on the way out.,
17,Alpha Predator,4,4,4,Minion,Beast,Common,ADAPT,ADAPT.,Top of the food chain. Bottom of your opponent's priorities. Mistake.,
18,Living Thicket,4,3,6,Minion,Beast,Common,GUARDIAN,GUARDIAN. Gains +1/+1 whenever you play a Beast.,The forest fights back. And it's been working out.,
19,Primordial Surge,4,,,Spell,,Common,,Give a minion +3/+3 and ADAPT.,MAXIMUM EVOLUTION.,
20,Nest Mother,4,3,4,Minion,Beast,Common,DEPLOY,DEPLOY: Summon two 2/2 Beast Hatchlings with ADAPT.,Two babies. Six possible mutations. Good luck.,
21,Razorclaw Rex,5,6,4,Minion,Beast,Common,"SWIFT, ADAPT",SWIFT. ADAPT.,Fast. Adaptive. Hungry. In that order.,
22,Elder Treant,5,4,7,Minion,Beast,Common,GUARDIAN,GUARDIAN. LAST WORDS: Summon a 3/3 Sapling with GUARDIAN.,Old trees don't fall quietly.,
23,Law of the Jungle,5,,,Spell,,Common,,Destroy a minion with less Attack than your strongest minion.,Survival of the fittest. YOUR fittest.,
24,Apex Call,5,,,Spell,,Common,,Summon a random Beast from your deck. Give it +2/+2 and ADAPT.,Didn't call it. It answered anyway.,
25,Titan Wurm,6,7,6,Minion,Beast,Common,ADAPT,ADAPT. Costs (1) less for each Beast you control.,Discounted destruction. Bulk evolution rates apply.,
26,Primal Roar,6,,,Spell,,Common,,Give all friendly Beasts +3/+3 and ADAPT.,ROOOOAAAAAR! Translation: GET BIGGER.,
27,Primeva Behemoth,7,8,8,Minion,Beast,Common,"ADAPT, ADAPT",ADAPT. ADAPT. (Choose 2 bonuses.),Eight tons of whatever it decides to become.,
28,Extinction Event,7,,,Spell,,Common,,Destroy all minions with 4 or less Attack. Your Beasts have +4/+4 for the rest of the game.,Only the strong survive. And they get STRONGER.,
29,Egg Clutch,2,0,3,Minion,Beast,Common,LAST WORDS,LAST WORDS: Summon a random Beast that costs (4) or less.,What's inside? Nobody knows until it's too late.,
30,Fertile Grounds,3,,,Structure,,Common,,Your Beasts have +1/+1.,Everything grows here. Everything.,
31,Evolutionary Leap,3,,,Spell,,Rare,,Destroy a friendly minion. Summon a random minion that costs (2) more from your deck.,"Sacrifice today. Upgrade tomorrow. Actually, upgrade NOW.",
32,Hive Queen,5,4,5,Minion,Beast,Rare,DEPLOY,DEPLOY: Fill your board with 1/1 Sporlings. They all ADAPT.,One queen. Seven drones. Seven mutations. Good luck.,
33,Broodmother Rex,6,5,6,Minion,Beast,Rare,,"Whenever this minion survives damage, summon a 3/3 Beast with ADAPT.",Hit it. I dare you. See what comes out.,
34,Living Ecosystem,4,,,Structure,,Rare,,Start of Turn: Give a random friendly Beast ADAPT.,The circle of life. But it's a spiral. And it only goes UP.,
35,Mutagenic Spores,2,,,Spell,,Rare,,Give a minion ADAPT three times. (Choose 3 bonuses.),Triple mutation. Triple trouble.,
