#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Cog Worker,1,1,2,Minion,Mech,Common,UPGRADE (1),UPGRADE (1): Gain +1/+1.,"It ain't much, but it's honest work.",
2,Spark Plug,1,2,1,Minion,Mech,Common,DEPLOY,DEPLOY: Deal 1 damage to a random enemy.,WARNING: Do not lick.,
3,Conveyor Crawler,1,1,3,Minion,Mech,Common,,,"Slow and steady wins the... actually, just slow.",
4,Alloy Plating,1,,,Spell,,Common,,Give a minion +0/+3.,Now 40% more bulletproof!,
5,Welding Torch,1,,,Spell,,Common,,"Deal 2 damage. If the target is a Mech, deal 4 instead.",The right tool for taking apart the wrong robot.,
6,Scrap Collector,2,2,3,Minion,,Common,DEPLOY,DEPLOY: Add a random Mech to your hand.,One bot's trash is another bot's treasure.,
7,Bolt Tightener,2,1,4,Minion,Mech,Common,GUARDIAN,GUARDIAN.,Loose bolts? Not on my watch.,
8,Recycler Bot,2,2,2,Minion,Mech,Common,LAST WORDS,LAST WORDS: Add a 1/1 Cog-Bot to your hand.,"Reduce, reuse, reboot.",
9,Assembly Line,2,,,Spell,,Common,,Summon two 1/1 Cog-Bots.,Two for the price of two. What a deal!,
10,Overcharge,2,,,Spell,,Common,,Give a Mech +3 Attack and SWIFT this turn.,MAXIMUM POWER! ...briefly.,
11,Copper Sentinel,3,3,3,Minion,Mech,Common,BARRIER,BARRIER.,"Shiny and chrome, as intended.",
12,Junkyard Hound,3,2,4,Minion,Mech,Common,SALVAGE,SALVAGE. (LAST WORDS: Draw a card.),Good boy! Who's a good corrosion-resistant boy?,
13,Piston Puncher,3,3,2,Minion,Mech,Common,SWIFT,SWIFT.,Runs on diesel and pure aggression.,
14,Magnetize,3,,,Spell,,Common,,Give a Mech +2/+2 and BARRIER.,Positive vibes only. Also positive charges.,
15,Oil Slick,3,,,Spell,,Common,,Deal 1 damage to all enemy minions. Your Mechs gain +1 Attack.,Slippery when everywhere.,
16,Maintenance Drone,3,2,3,Minion,Mech,Common,,End of Turn: Give a random friendly Mech +1/+1.,It fixes things. Don't ask how.,
17,Turret Deployer,4,3,4,Minion,,Common,DEPLOY,DEPLOY: Summon a 2/2 Mech Turret with GUARDIAN.,Some assembly required. Batteries not included.,
18,Circuit Breaker,4,4,3,Minion,Mech,Common,DEPLOY,DEPLOY: Remove all keywords from an enemy minion.,Have you tried turning it off and never turning it back on?,
