#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Prism Shard,1,1,2,Minion,Elemental,Common,RESONATE,RESONATE: Gain +1/+1.,Vibrates when you cast spells. Also when nervous.,
2,Crystal Spark,1,,,Spell,,Common,,Deal 1 damage. Draw a card.,A tiny zap. A tiny card. A tiny WIN.,
3,Facet Moth,1,1,1,Minion,Elemental,Common,RESONATE,RESONATE: Summon a 1/1 Crystal Shard.,"Casts spells, makes friends. Spell friends.",
4,Arcane Missile,1,,,Spell,,Common,,Deal 3 damage randomly split among all enemies.,"Aim? Where we're going, we don't NEED aim.",
5,Mana Crystal,1,,,Spell,,Common,,Gain 1 Crystal this turn only.,Temporary power. Permanent results.,
6,Geode Apprentice,2,2,3,Minion,,Common,RESONATE,RESONATE: Deal 1 damage to a random enemy.,Studies hard. Zaps harder.,
7,Refraction Bolt,2,,,Spell,,Common,,"Deal 2 damage. If you cast another spell this turn, deal 4 instead.",Combo starter. Face finisher.,
8,Spell Weaver,2,1,3,Minion,,Common,,Your spells cost (1) less. (Minimum 1.),Discount magic. No coupons required.,
9,Prismatic Bolt,2,,,Spell,,Common,,Deal 3 damage to a minion.,Three colors of pain.,
10,Crystal Golem,2,2,3,Minion,Elemental,Common,RESONATE,RESONATE: Gain +0/+2.,"Gets tougher every time you cast. The strong, silent type.",
11,Resonance Mage,3,3,3,Minion,,Common,RESONATE,RESONATE: Add a random spell to your hand. It costs (1).,Casts spells. Gets spells. Casts THOSE spells. Gets MORE spells.,
12,Shatter,3,,,Spell,,Common,,"Deal 4 damage. If this kills the target, deal 2 damage to adjacent minions.","Break one, crack two. Crystal physics.",
13,Quartz Warden,3,2,5,Minion,Elemental,Common,"GUARDIAN, RESONATE",GUARDIAN. RESONATE: Gain BARRIER.,Shields up when you spell up.,
14,Spell Surge,3,,,Spell,,Common,,"Draw 2 cards. If you've cast 2+ spells this turn, draw 3 instead.",More spells. More cards. More spells from cards. It's a CYCLE.,
15,Prism Shield,3,,,Spell,,Common,,Give a minion +2/+4 and BARRIER.,Looks like glass. Hits like diamond.,
16,Energized Sentry,3,2,4,Minion,Elemental,Common,,Gains +1 Attack for each spell you've cast this turn.,Charges up while you cast. Very polite.,
17,Prismora Scholar,4,3,4,Minion,,Common,DEPLOY,DEPLOY: Add 2 random Crystalline spells to your hand.,Knowledge is power. Two knowledges is MORE power.,
18,Arcane Explosion,4,,,Spell,,Common,,Deal 2 damage to all enemy minions. Deal 1 extra for each spell you've cast this game. (Max +5.),Gets stronger the longer the game goes. Like a fine wine. Of FIRE.,
19,Living Crystal,4,4,4,Minion,Elemental,Common,"RESONATE, RESONATE",RESONATE: Gain +1/+1 AND deal 1 damage to a random enemy. (Triggers both on each spell.),Double the resonance. Double the pain.,
20,Refract,4,,,Spell,,Common,,Deal 3 damage. Cast a random spell that costs (3) or less. (Targets chosen randomly.),One spell becomes two. Chaos is a feature.,
21,Crystal Colossus,5,5,6,Minion,Elemental,Common,RESONATE,RESONATE: Gain +2/+2 and SWIFT.,"The bigger they are, the harder they RESONATE.",
22,Arcane Storm,5,,,Spell,,Common,,Deal 1 damage to all enemies for each spell you've cast this turn. (Includes this one.),Step 1: Cast spells. Step 2: Cast THIS spell. Step 3: Victory.,
23,Spell Thief,5,4,4,Minion,,Common,DEPLOY,DEPLOY: Copy the last spell your opponent cast. It costs (0).,What's yours is mine. Especially your best spell.,
24,Overload,5,,,Spell,,Common,,Your next spell this turn costs (0) and deals double damage.,UNLIMITED POWER! (Limited to one use.),
25,Prismatic Dragon,6,6,6,Minion,Elemental,Common,RESONATE,RESONATE: Deal 3 damage to a random enemy.,"Every spell you cast, it breathes fire. Every. Single. One.",
26,Cascade,6,,,Spell,,Common,,"Deal 6 damage to a minion. If this kills it, cast this again on a random enemy minion.",It keeps going until something stops it. Nothing stops it.,
27,Crystal Titan,7,7,8,Minion,Elemental,Common,"RESONATE, RESONATE",RESONATE: Gain +2/+2 and deal 2 damage to all enemies.,The mountain casts back.,
28,Prismatic Annihilation,7,,,Spell,,Common,,Deal 10 damage split randomly among all enemies. Costs (1) less for each spell you've cast this game. (Min 1.),All the colors of the rainbow. All the damage of a supernova.,
29,Echo Chamber,2,,,Structure,,Common,,Your RESONATE effects trigger an additional time.,Say it again. Louder. LOUDER.,
30,Crystal Battery,2,0,4,Minion,Elemental,Common,LAST WORDS,LAST WORDS: Gain 2 Crystals this turn only.,Breaks open. Power falls out.,
31,Spell Amplifier,3,2,4,Minion,,Rare,,Your spells deal 2 extra damage.,Makes everything louder. EVERYTHING.,
32,Resonance Cascade,4,,,Spell,,Rare,,Trigger all friendly RESONATE effects twice.,Every crystal on the board goes BOING.,
33,Geode Sage's Staff,3,,,Spell,,Rare,,"Your Hero Power costs (0) this turn. After you use it, draw 2 cards.",The sage's secret: free magic and free cards.,
34,Arcane Repository,4,,,Structure,,Rare,,"Whenever you cast a spell, add a copy of it to your hand. It costs (2) more.",Spells come back. With a surcharge.,
35,Prismora Channeler,5,4,5,Minion,,Rare,RESONATE,RESONATE: The next spell you cast this turn costs (2) less.,Fuels the fire while standing in the fire.,
36,Feedback Loop,3,,,Spell,,Rare,,"Deal 2 damage to a minion. If you've cast 3+ spells this turn, cast this again. (Repeatable.)",Infinite loop. Finite targets.,
37,Crystal Wyrm,6,5,7,Minion,Elemental,Rare,RESONATE,RESONATE: Gain DOUBLE STRIKE until end of turn.,One spell makes it attack twice. Two spells? Don't ask.,
38,Mana Flood,5,,,Spell,,Rare,,Gain 3 Crystals this turn only. Draw a card for each unspent Crystal.,Too much mana? IMPOSSIBLE.,
39,Prismatic Barrier,4,,,Spell,,Rare,,Give all friendly minions BARRIER. Draw a card for each BARRIER given.,Everyone gets a shield! And a card! Best. Day. Ever.,
40,Runic Golem,5,4,6,Minion,Elemental,Rare,,Gains +2/+2 for each spell in your hand.,Checks your hand. Gets HUGE.,
41,Arcane Singularity,7,,,Spell,,Rare,,Deal damage to all enemies equal to the number of spells you've cast this game.,"The longer the game goes, the harder this hits. Plan accordingly.",
42,Crystallize,4,,,Spell,,Rare,,Transform a minion into a 0/1 Crystal Shard.,Was a dragon. Now a paperweight. Science!,
43,Mana Vortex,5,3,5,Minion,Elemental,Rare,,"End of Turn: If you cast 3+ spells this turn, fill your hand with random spells.",Cast enough spells and the universe sends more. It's a subscription.,
44,Spellfire Elemental,6,5,5,Minion,Elemental,Rare,DEPLOY,DEPLOY: Cast a random spell from your deck. (Targets chosen randomly.),Doesn't READ spells. Just THROWS them.,
45,Prismatic Lens,4,,,Structure,,Rare,,Spells in your hand swap costs with minions in your hand. (Cheapest spell swaps with most expensive minion.),Everything is wrong. But in the RIGHT way.,
46,ARCANE NEXUS,8,5,8,Minion,Elemental,Epic,RESONATE,RESONATE: Cast a copy of the spell that triggered this. (Targets chosen randomly.) Your spells cost (1) less.,It doesn't learn your spells. It BECOMES your spells.,STARFORGE — After casting 15 spells: Transform into PRISMATIC GODFORM — 10/12. RESONATE: Cast a copy of the triggering spell THREE times. Your spells cost (3) less.
47,Infinity Mirror,7,,,Spell,,Epic,,Copy all spells you've cast this turn and cast them again. (Targets chosen randomly.),"Mirror mirror on the wall, who casts the most spells of all?",
48,Living Spellbook,6,4,6,Minion,,Epic,DEPLOY,DEPLOY: Discover a spell. It costs (0). Your next 3 spells this game cost (1) less.,It's not a book. It's a WEAPON disguised as a book.,
49,GEODE SAGE LUMIS,9,6,8,Minion,,Legendary,DEPLOY,"DEPLOY: For the rest of the game, your spells cost (2) less and trigger all friendly RESONATE effects twice. Your Hero Power reads: ""The next spell you cast costs (0).""",He didn't master Prismora's crystals. He IS Prismora's crystals.,"STARFORGE — After casting 25 spells: Transform into LUMIS, ARCANE AVATAR — 10/12. ALL spells you cast are cast twice. Your spells cost (3) less. RESONATE effects trigger three times."
50,THE INFINITE PRISM,10,0,15,Minion,Elemental,Legendary,,Can't attack. End of Turn: Cast a copy of every spell you cast this turn. (Targets chosen randomly.) Your spells cost (1) less.,It does nothing. Then it does EVERYTHING. Twice.,
