#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Worker Drone,1,1,1,Minion,Insect,Common,SWARM,SWARM. (Gets +1/+1 for each other friendly minion.),Alone? Weak. With friends? STILL weak. With LOTS of friends? Terrifying.,
2,Spawning Pit,1,,,Spell,,Common,,Summon two 1/1 Drones.,Two for one! The hive's favorite deal.,
3,Hatchling Swarm,1,1,1,Minion,Insect,Common,LAST WORDS,LAST WORDS: Summon two 1/1 Drones.,Kill one. Get two. That's bug math.,
4,Chitinous Shell,1,,,Spell,,Common,,Give a minion +0/+2 and GUARDIAN.,Hard shell. Soft insides. Don't tell them.,
5,Skittering Scout,1,1,2,Minion,Insect,Common,,"DEPLOY: If you control 2+ other minions, draw a card.",Reports back to the hive. The hive is VERY interested.,
6,Brood Tender,2,2,2,Minion,Insect,Common,DEPLOY,DEPLOY: Summon a 1/1 Drone.,Babysitter of the apocalypse.,
7,Swarm Striker,2,2,1,Minion,Insect,Common,"SWARM, SWIFT",SWARM. SWIFT.,Fast. Numerous. Furious.,
8,Infest,2,,,Spell,,Common,,Summon three 1/1 Drones.,Congratulations! Your board has bugs.,
9,Acid Spitter,2,2,2,Minion,Insect,Common,DEPLOY,DEPLOY: Deal 1 damage for each other friendly minion you control.,Accuracy optional. Volume mandatory.,
10,Pheromone Trail,2,,,Spell,,Common,,Give all friendly minions +1 Attack this turn. Draw a card.,Follow the scent. Of VICTORY.,
11,Tunnel Burrower,3,2,4,Minion,Insect,Common,"GUARDIAN, SWARM",GUARDIAN. SWARM.,Digs in. Grows huge. Good luck getting past it.,
12,Hive Warrior,3,3,2,Minion,Insect,Common,"SWARM, SWIFT",SWARM. SWIFT.,The hive's front line. Small but SO many.,
13,Brood Burst,3,,,Spell,,Common,,Summon 1/1 Drones until you have 5 minions.,Board half empty? Board half FULL of bugs.,
14,Consume and Grow,3,,,Spell,,Common,,Destroy a friendly minion. Give all other friendly minions +2/+1.,One drone dies. The rest celebrate. With STATS.,
15,Swarm Feeder,3,2,3,Minion,Insect,Common,,End of Turn: Summon a 1/1 Drone.,Produces drones. Endlessly. Tirelessly. Annoyingly.,
16,Venomsting,3,2,2,Minion,Insect,Common,"LETHAL, SWARM",LETHAL. SWARM.,Poisonous AND it grows with friends. Nature's cruelest combo.,
17,Hive Coordinator,4,3,4,Minion,Insect,Common,,Your SWARM minions have +1/+1. DEPLOY: Summon a 1/1 Drone.,"Manages the swarm. Middle management, but LETHAL middle management.",
18,Chitin Charger,4,4,3,Minion,Insect,Common,"SWARM, BLITZ",SWARM. BLITZ.,Charges in. Is suddenly enormous because friends exist.,
19,Plague Swarm,4,,,Spell,,Common,,Deal 1 damage to all enemy minions for each friendly minion you control.,More bugs = more pain. Simple entomology.,
20,Cocoon,4,,,Spell,,Common,,Destroy a friendly minion. Summon a random Insect that costs (3) more.,Goodbye larva. Hello NIGHTMARE.,
21,Brood Lord,5,4,5,Minion,Insect,Common,SWARM,"SWARM. Whenever this attacks, summon two 1/1 Drones.",Attacks AND reproduces. Multitasking nightmare.,
22,Swarm Tide,5,,,Spell,,Common,,Fill your board with 1/1 Drones.,MAXIMUM BUGS.,
23,Hiveguard,5,3,7,Minion,Insect,Common,"GUARDIAN, SWARM",GUARDIAN. SWARM. Gains +0/+2 for each other friendly minion.,A wall of chitin. Gets thicker when friends arrive.,
