#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Deckhand Specter,1,2,1,Minion,Pirate,Common,CLOAK,CLOAK.,You hired a ghost pirate. It's as reliable as it sounds.,
2,Pocket Thief,1,1,2,Minion,Pirate,Common,DEPLOY,DEPLOY: Add a random card from your opponent's class to your hand.,Five-finger discount. In SPACE.,
3,Ghostly Cutlass,1,,,Spell,,Common,,"Give a minion +2 Attack. If it has CLOAK, give +3 instead.",Invisible swords hit harder. Trust the science.,
4,Plunder,1,,,Spell,,Common,,Copy a random card from your opponent's hand.,What's mine is mine. What's yours is also mine.,
5,Phantom Parrot,1,1,1,Minion,Pirate,Common,,DEPLOY: Copy the last card your opponent played. It costs (1).,BAWK! I'll have what he's having! BAWK!,
6,Smuggler's Shade,2,3,2,Minion,Pirate,Common,SWIFT,SWIFT.,Fast hands. Faster exit.,
7,Ghost Gunner,2,2,2,Minion,Pirate,Common,"PHASE, DEPLOY",PHASE. DEPLOY: Deal 1 damage to a random enemy.,Can't target it. Can't ignore it. Can't STAND it.,
8,Pickpocket,2,2,3,Minion,Pirate,Common,,"Whenever this attacks, add a random card from your opponent's class to your hand.",Every swing is a shopping spree.,
9,Smoke Bomb,2,,,Spell,,Common,,Give a friendly minion CLOAK and +1/+1.,Now you see it. Now you don't. Now you're dead.,
10,Cheap Shot,2,,,Spell,,Common,,"Deal 2 damage. If the target has CLOAK or PHASE, deal 4 instead.",Hitting the invisible? We hit HARDER.,
11,Phantom Blade,3,4,2,Minion,Pirate,Common,"CLOAK, SWIFT",CLOAK. SWIFT.,Appears. Stabs. Disappears. Repeat.,
12,Cargo Raider,3,3,3,Minion,Pirate,Common,DEPLOY,DEPLOY: Add a copy of a random card from your opponent's deck to your hand. It costs (1) less.,Found this in your cargo hold. Mine now.,
