#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Ember Imp,1,2,1,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 1 damage to all enemies.,Small. Angry. On fire.,
2,Cinder Sprite,1,1,2,Minion,Elemental,Common,,DEPLOY: Deal 1 damage to the enemy Hero.,It just wants to say hi. With fire.,
3,Flamelick,1,,,Spell,,Common,,Deal 2 damage to the enemy Hero.,Just a taste. Of FIRE.,
4,Firestarter,1,1,1,Minion,Elemental,Common,"BLITZ, IMMOLATE",BLITZ. IMMOLATE: Deal 1 damage to the enemy Hero.,Born to burn. Literally born burning.,
5,Ignite,1,,,Spell,,Common,,"Deal 1 damage to a minion. If it dies, deal 2 damage to the enemy Hero.",One spark starts the inferno.,
6,Ashwalker,2,3,2,Minion,,Common,IMMOLATE,IMMOLATE: Deal 2 damage to the enemy Hero.,Walks through ash. Creates more ash.,
7,Magma Hound,2,2,3,Minion,Elemental,Common,SWIFT,SWIFT.,Good boy. HOT boy. VERY hot boy.,
8,Searing Touch,2,,,Spell,,Common,,Deal 3 damage to a minion.,Reach out and torch someone.,
9,Fire Cultist,2,2,2,Minion,,Common,DEPLOY,DEPLOY: Deal 1 damage to ALL characters.,He doesn't discriminate. Everything burns equally.,
10,Pyro Bolt,2,,,Spell,,Common,,Deal 3 damage to the enemy Hero.,Point. Click. Incinerate.,
11,Lava Lurker,3,3,3,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 2 damage to the minion that killed this.,Surprise! You're on fire now too.,
12,Scorched Fanatic,3,4,2,Minion,,Common,IMMOLATE,IMMOLATE: Deal 3 damage to the enemy Hero.,His will is fire. His body is temporary.,
13,Flame Geyser,3,,,Spell,,Common,,Deal 2 damage. Summon a 2/1 Ember Elemental.,Two for one! Both are on fire.,
14,Volcanic Shard,3,2,4,Minion,Elemental,Common,DEPLOY,DEPLOY: Deal 2 damage split randomly among all enemies.,"Shrapnel. But, like, LAVA shrapnel.",
15,Fuel the Flames,3,,,Spell,,Common,,Your IMMOLATE effects deal 2 extra damage this turn. Draw a card.,More fuel. MORE. MOOORE.,
16,Charred Berserker,3,5,1,Minion,,Common,"SWIFT, IMMOLATE",SWIFT. IMMOLATE: Deal 1 damage to all enemies.,Already on fire. Doesn't care.,
17,Inferno Caller,4,4,3,Minion,,Common,DEPLOY,DEPLOY: Deal 2 damage to two random enemies.,Calls fire. Fire picks up EVERY time.,
18,Blazing Chariot,4,4,4,Minion,Elemental,Common,"BLITZ, IMMOLATE",BLITZ. IMMOLATE: Deal 2 damage to the enemy Hero.,It doesn't stop. It CAN'T stop. It's ON FIRE.,
19,Wall of Flame,4,,,Spell,,Common,,Deal 2 damage to all enemies.,Some men just want to watch everything burn. This spell is for them.,
20,Eruption,4,,,Spell,,Common,,Deal 4 damage to a minion. Deal 1 damage to adjacent minions.,Collateral damage is the BEST damage.,
21,Magma Giant,5,5,5,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 3 damage to the enemy Hero.,Five tons of angry lava.,
22,Pyroclastic Flow,5,,,Spell,,Common,,Deal 3 damage to all enemy minions.,No escape. No survivors. No refunds.,
23,Furnace Fiend,5,4,4,Minion,Elemental,Common,,"After a friendly minion dies from IMMOLATE, gain +2/+2.",Feeds on the ashes of friends. It's a lifestyle.,
24,Rain of Fire,5,,,Spell,,Common,,Deal 1 damage to all enemies. Repeat for each friendly minion that died this turn.,Step 1: Die. Step 2: VENGEANCE.,
25,Infernal Juggernaut,6,6,5,Minion,Elemental,Common,"SWIFT, IMMOLATE",SWIFT. IMMOLATE: Deal 3 damage to all enemies.,He IS the catastrophe.,
26,Hellfire Breath,6,,,Spell,,Common,,Deal 5 damage to all characters.,Fair? No. Fun? ABSOLUTELY.,
27,Ashen Colossus,7,7,7,Minion,Elemental,Common,IMMOLATE,IMMOLATE: Deal 4 damage to all enemies.,"When it falls, civilizations end.",
28,Doomsday Meteor,7,,,Spell,,Common,,Deal 7 damage to a minion and 3 damage to all other enemies.,Extinction-level event in card form.,
29,Kindling,1,1,1,Minion,Elemental,Common,LAST WORDS,LAST WORDS: Deal 2 damage to the enemy Hero.,Born to die. And burn.,
30,Ash Pit,2,,,Structure,,Common,,"Whenever a friendly minion dies, deal 1 damage to the enemy Hero.",Everything returns to ash. Ash returns to the face.,
31,Flamecaller Disciple,3,3,3,Minion,,Rare,,Your IMMOLATE effects deal 1 extra damage.,Teacher says always add more fire.,
32,Volcanic Ritual,4,,,Spell,,Rare,,Destroy a friendly minion. Deal damage equal to its Attack to all enemies.,Sacrifice accepted. Explosively.,
33,Inferno Engine,5,4,5,Minion,Mech,Rare,,"Whenever a friendly minion with IMMOLATE dies, summon a 3/2 Flame Elemental with IMMOLATE: Deal 1 damage to the enemy Hero.",The fire never ends. It just changes shape.,
34,Pyromaniac,2,2,3,Minion,,Rare,,"Whenever you deal damage to the enemy Hero with a spell, gain +1/+1.",Some people have hobbies. His is arson.,
35,Backdraft,3,,,Spell,,Rare,,"Deal 4 damage to a minion. If it dies, deal 4 damage to the enemy Hero.",Knock knock. WHO'S THERE? Fire.,
36,Living Bomb,3,0,4,Minion,,Rare,"GUARDIAN, IMMOLATE",GUARDIAN. IMMOLATE: Deal 4 damage to ALL characters.,"Please don't hit me. Actually, PLEASE hit me.",
37,Cinder Storm,5,,,Spell,,Rare,,Deal 8 damage randomly split among all enemies.,Eight fireballs enter. Nobody leaves.,
38,Forge of Ignaros,4,,,Structure,,Rare,,Start of Turn: Deal 2 damage to the enemy Hero.,It forges swords. Out of hatred. And fire.,
39,Kamikaze Construct,4,7,1,Minion,,Rare,"BLITZ, IMMOLATE",BLITZ. IMMOLATE: Deal 3 damage to all enemies.,Its first mission is always its last. Worth it.,
40,Smoldering Remains,2,,,Spell,,Rare,,Summon all friendly minions with IMMOLATE that died this turn. They die at end of turn.,They come back. Briefly. Violently.,
41,Firestorm Drake,6,5,5,Minion,Elemental,Rare,"SWIFT, DEPLOY","SWIFT. DEPLOY: Deal 3 damage to a minion. If it dies, deal excess to the enemy Hero.",Breathes fire. Eats fire. IS fire.,
42,Volcanic Heart,4,,,Spell,,Rare,,"Give a minion ""IMMOLATE: Deal damage equal to this minion's Attack to all enemies.""","Here. Hold this. Now die, please.",
43,Emberstrike Assassin,3,4,1,Minion,,Rare,"CLOAK, IMMOLATE",CLOAK. IMMOLATE: Deal 3 damage to the enemy Hero.,You won't see it coming. You WILL feel it burning.,
44,Molten Armor,3,,,Spell,,Rare,,"Give a minion +2/+2 and ""IMMOLATE: Deal 3 damage to the minion that killed this.""",Warning: Do NOT hug the wearer.,
45,Infernal Pact,5,,,Structure,,Rare,,"Whenever you deal damage to the enemy Hero on your turn, deal 1 additional damage.",Sign here. In fire. WITH fire.,
46,MAGMA TYRANT,7,7,6,Minion,Elemental,Epic,IMMOLATE,IMMOLATE: Deal 5 damage to all enemies. Your other IMMOLATE effects trigger twice.,He doesn't erupt. He DECIDES to erupt.,"STARFORGE — After dealing 30 IMMOLATE damage: Transform into MAGMA EMPEROR — 10/10, BARRIER. When ANY minion dies, deal 3 damage to all enemies. IMMOLATE: Deal 8 damage to all enemies."
47,Supernova,8,,,Spell,,Epic,,Destroy ALL minions. Deal damage to the enemy Hero equal to the number of minions destroyed.,The ultimate rage quit. In card form.,
48,Doomfire Sentinel,6,5,5,Minion,Elemental,Epic,BLITZ,"BLITZ. Whenever this attacks and kills a minion, deal its Attack as damage to the enemy Hero.",Kills you. Then kills your boss. With your corpse.,
49,PHOENIX ETERNUS,6,5,5,Minion,Elemental,Legendary,BARRIER,BARRIER. LAST WORDS: Return this to your hand. It costs (3) less.,Death is not the end. It's the WARMUP.,"STARFORGE — After dying 5 times: Transform into THE IMMORTAL PHOENIX — 12/10, BARRIER, SWIFT. LAST WORDS: Return to play with full Health and +3/+3. Costs (0)."
50,"ASHYR, THE WORLD BURNER",8,6,6,Minion,,Legendary,"DEPLOY, IMMOLATE",DEPLOY: Deal 3 damage to all enemies. IMMOLATE: Deal 5 damage to all enemies. End of Turn: Deal 2 damage to the enemy Hero.,Ignaros had one rule: burn everything. Ashyr added a second: burn it AGAIN.,
