#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Void Wisp,1,1,2,Minion,Void,Common,,DEPLOY: Look at the top card of your opponent's deck.,It sees all. It judges all. It's 1/2.,
2,Null Shard,1,,,Spell,,Common,,Deal 1 damage. The target's owner discards a random card.,Small cut. Big loss.,
3,Shadow Feeder,1,2,1,Minion,Void,Common,,Gains +1/+1 whenever your opponent discards a card.,Your loss is literally its lunch.,
4,Entropic Touch,1,,,Spell,,Common,,A random card in your opponent's hand costs (2) more.,Everything costs more in the Void.,
5,Void Initiate,1,1,2,Minion,,Common,LAST WORDS,LAST WORDS: Your opponent's next card costs (1) more.,"Stares into the abyss. The abyss stares back. Then charges rent.",
6,Nullheim Stalker,2,3,2,Minion,Void,Common,CLOAK,CLOAK.,You can't see it. That's the point.,
7,Mind Fracture,2,,,Spell,,Common,,Your opponent discards the highest-cost card in their hand.,Oops. Gone. Forever.,
8,Rift Walker,2,2,3,Minion,Void,Common,DEPLOY,DEPLOY: Your opponent's next card costs (1) more.,Walks between dimensions. Ruins your economy.,
9,Void Drain,2,,,Spell,,Common,,Deal 2 damage. BANISH the target if it dies.,Not just dead. ERASED.,
10,Entropy Agent,2,2,2,Minion,,Common,DEPLOY,DEPLOY: Your opponent reveals a random card from their hand.,Knowledge is power. Your opponent's knowledge is MY power.,
11,Abyssal Lurker,3,3,4,Minion,Void,Common,,"After your opponent plays a card, gain +1 Attack.",Watches. Waits. Grows.,
12,Thought Shredder,3,2,3,Minion,,Common,DEPLOY,DEPLOY: Your opponent discards a random card. Draw a card.,Your thoughts. My cards. Fair trade.,
13,Nullify,3,,,Spell,,Common,BANISH,BANISH an enemy minion with 3 or less Attack.,It was never here. Check the records.,
14,Void Tendril,3,2,4,Minion,Void,Common,GUARDIAN,GUARDIAN. LAST WORDS: Your opponent's next card costs (2) more.,"Even in death, it's annoying.",
15,Creeping Dread,3,,,Spell,,Common,,All cards in your opponent's hand cost (1) more until your next turn.,That sinking feeling? It's real. And it costs extra.,
16,Hollow Shade,3,4,2,Minion,Void,Common,SWIFT,SWIFT.,Fast. Empty. Terrifying.,
17,Reality Ripper,4,4,4,Minion,Void,Common,DEPLOY,DEPLOY: BANISH a random card from your opponent's hand.,Rips cards out of EXISTENCE.,
18,Void Sentinel,4,3,5,Minion,Void,Common,GUARDIAN,GUARDIAN. Your opponent's cards cost (1) more.,The toll booth at the end of reality.,
19,Dimensional Rift,4,,,Spell,,Common,,BANISH an enemy minion. Your opponent draws a card.,"Gone, but they get a consolation prize.",
20,Psychic Assault,4,,,Spell,,Common,,Deal damage to the enemy Hero equal to the number of cards they've lost this game. (Max 8.),Every erased card leaves a scar.,
21,Abyssal Maw,5,5,5,Minion,Void,Common,DEPLOY,DEPLOY: BANISH a random card from your opponent's deck.,It eats cards. It eats FUTURES.,
22,Null Field,5,,,Spell,,Common,,Silence all enemy minions. (Remove all keywords and card text.),Shh. No powers. Only Void now.,
23,Void Harvester,5,4,4,Minion,,Common,,"Whenever your opponent discards a card, gain +2/+2.",Your despair is its protein shake.,
24,Erasure,5,,,Spell,,Common,BANISH,BANISH an enemy minion.,Ctrl+Z doesn't work in the Void.,
25,Null Leviathan,6,6,6,Minion,Void,Common,,Your opponent's cards cost (1) more. Costs (1) less for each card BANISHed this game.,Grows cheaper as reality gets thinner.,
26,Annihilate,6,,,Spell,,Common,BANISH,BANISH all enemy minions with 4 or less Attack.,Below the threshold? Below existence.,
27,Oblivion Wraith,7,7,7,Minion,Void,Common,DEPLOY,DEPLOY: BANISH all spells from your opponent's hand.,It doesn't destroy your plans. It un-exists them.,
28,Consume Reality,7,,,Spell,,Common,,BANISH the top 5 cards of your opponent's deck. Draw 2 cards.,Five futures. Deleted.,
29,Void Parasite,2,1,1,Minion,Void,Common,LAST WORDS,LAST WORDS: BANISH a random card from your opponent's hand.,Tiny. Deadly. Existentially threatening.,
30,Whispers of Null,1,,,Spell,,Common,,Your opponent's highest-cost card costs (3) more this turn.,The Void whispers. Your wallet screams.,
31,Entropy Weaver,4,3,4,Minion,,Rare,,"Whenever a card is BANISHed, draw a card.",Destruction is productive. If you're the right person.,
32,Void Mirror,3,2,3,Minion,Void,Rare,DEPLOY,DEPLOY: Copy a card from your opponent's hand. It costs (0).,Imitation is the sincerest form of theft.,
33,Mindbreaker,5,4,5,Minion,,Rare,DEPLOY,DEPLOY: Your opponent discards their lowest and highest cost cards.,Targets the extremes. Leaves the mediocre.,
34,Null Anchor,3,,,Structure,,Rare,,Your opponent's first card each turn costs (2) more.,Going first never felt so expensive.,
35,Black Hole,6,,,Spell,,Rare,BANISH,BANISH an enemy minion. BANISH a random card from your opponent's hand.,Two-for-one deletion special.,
36,Void Siphon,4,,,Spell,,Rare,,Steal 2 random cards from your opponent's hand. They cost (1) less.,Finders keepers. Losers... lose.,
37,Abyss Walker,5,4,4,Minion,Void,Rare,PHASE,PHASE. (Can't be targeted by spells or Hero Powers.),Exists between dimensions. Untouchable. Insufferable.,
38,Reality Unraveler,6,5,6,Minion,,Rare,,End of Turn: BANISH a random card from your opponent's hand.,"Every night, one card disappears. Nobody knows why. Except it.",
39,Nullheim Gate,5,,,Structure,,Rare,,"Whenever you BANISH a card, deal 2 damage to the enemy Hero.",Every erasure echoes.,
40,Devour Thoughts,3,,,Spell,,Rare,,"Your opponent discards 2 random cards. For each spell discarded, draw a card.",Your mind is an all-you-can-eat buffet.,
41,Dimensional Exile,7,,,Spell,,Rare,BANISH,BANISH all enemy minions with 5 or more Attack.,Too powerful to exist? Then don't.,
42,Void Echo,4,3,3,Minion,Void,Rare,ECHO,ECHO. DEPLOY: BANISH a random card from your opponent's deck.,Plays twice. Deletes twice. Smiles twice.,
43,Existential Crisis,5,,,Spell,,Rare,,Your opponent's Hero Power costs (5) more next turn.,Am I real? Is this real? Is ANYTHING real?,
44,Null Assassin,3,3,2,Minion,Void,Rare,"CLOAK, DEPLOY",CLOAK. DEPLOY: BANISH a random card from your opponent's deck.,Kills cards before you even draw them.,
45,Entropic Cascade,6,,,Structure,,Rare,,"Whenever your opponent draws a card, it costs (1) more.",Drawing cards was supposed to be FUN.,
46,THE VOID TYRANT,5,5,4,Minion,Void,Epic,,"After your opponent plays a card, BANISH a random card from their hand.",Every action you take costs you something you haven't lost yet.,"STARFORGE — After BANISHing 10 cards: Transform into THE VOID EMPEROR — 8/8, PHASE. After your opponent plays a card, BANISH their entire hand. They draw 1."
47,Oblivion Sphere,7,,,Spell,,Epic,BANISH,BANISH all minions. Cards BANISHed this way can't be resummoned or returned by any effect.,The board. The graveyard. The memory. All empty.,
48,Mind Devourer,6,4,6,Minion,Void,Epic,,DEPLOY: Look at your opponent's hand. BANISH 2 cards of your choice.,It doesn't just eat your thoughts. It picks its favorites first.,
49,PROPHET OF THE ENDLESS VOID,9,7,7,Minion,,Legendary,"DEPLOY, PHASE",DEPLOY: BANISH your opponent's entire hand. They draw 3. PHASE. End of Turn: Your opponent's cards cost (2) more next turn.,He preaches one gospel: nothingness. His congregation? Everyone. Eventually.,"STARFORGE — After BANISHing 20 cards total: Transform into GOD OF THE VOID — 12/12, PHASE. DEPLOY: BANISH your opponent's hand AND deck. They draw 1 card per turn from a ""Void Remnant"" pool (random 1-cost minions)."
50,NULLHEIM'S LAST WORD,8,5,5,Minion,Void,Legendary,DEPLOY,"DEPLOY: For the rest of the game, whenever your opponent draws a card, BANISH a random card from their deck. Your BANISH effects also deal 2 damage to the enemy Hero.",The Void doesn't end things. It makes them never have been.,
